Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",4034,3755411,1132,200191,2902,3555220
"00:50:56:c0:00:08",152,31604,152,31604,0,0
"00:50:56:e5:56:f1",4017,3753459,2903,3554998,1114,198461
"00:50:56:f0:fe:43",3,760,2,402,1,358
"01:00:5e:00:00:16",5,270,0,0,5,270
"01:00:5e:00:00:fb",32,2300,0,0,32,2300
"01:00:5e:00:00:fc",17,1099,0,0,17,1099
"01:00:5e:7f:ff:fa",34,13352,0,0,34,13352
"33:33:00:00:00:0c",14,10052,0,0,14,10052
"33:33:00:00:00:16",5,450,0,0,5,450
"33:33:00:00:00:fb",32,2940,0,0,32,2940
"33:33:00:01:00:03",17,1439,0,0,17,1439
"33:33:ff:c5:26:3b",12,1032,0,0,12,1032
"ff:ff:ff:ff:ff:ff",4,222,0,0,4,222
