Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",34633,35859289,9616,1032803,25017,34826486
"00:50:56:c0:00:08",165,33535,165,33535,0,0
"00:50:56:e5:56:f1",34607,35856248,25018,34826264,9589,1029984
"00:50:56:f0:fe:43",3,760,2,402,1,358
"01:00:5e:00:00:16",5,270,0,0,5,270
"01:00:5e:00:00:fb",37,2686,0,0,37,2686
"01:00:5e:00:00:fc",17,1099,0,0,17,1099
"01:00:5e:7f:ff:fa",46,15500,0,0,46,15500
"33:33:00:00:00:0c",14,10052,0,0,14,10052
"33:33:00:00:00:16",5,450,0,0,5,450
"33:33:00:00:00:fb",37,3426,0,0,37,3426
"33:33:00:01:00:03",17,1439,0,0,17,1439
"33:33:ff:c5:26:3b",12,1032,0,0,12,1032
"ff:ff:ff:ff:ff:ff",4,222,0,0,4,222
