Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",1442,1216703,449,135239,993,1081464
"00:50:56:c0:00:08",214,37558,214,37558,0,0
"00:50:56:e5:56:f1",1441,1216661,993,1081464,448,135197
"00:50:56:e7:26:e6",2,102,1,60,1,42
"01:00:5e:00:00:fb",64,5442,0,0,64,5442
"01:00:5e:00:00:fc",30,2557,0,0,30,2557
"01:00:5e:7f:ff:fa",16,10036,0,0,16,10036
"33:33:00:00:00:0c",14,10052,0,0,14,10052
"33:33:00:00:00:fb",60,6314,0,0,60,6314
"33:33:00:01:00:03",30,3157,0,0,30,3157
"ff:ff:ff:ff:ff:ff",1,60,0,0,1,60
