Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"4.195.183.33",57,31797,37,11602,20,20195,"","","","","",""
"13.70.178.62",37,13791,20,10505,17,3286,"","","","","",""
"13.107.5.93",33,18975,21,17005,12,1970,"","","","","",""
"13.107.42.12",26,12961,15,11194,11,1767,"","","","","",""
"13.107.246.32",66,25569,40,17576,26,7993,"","","","","",""
"20.4.130.154",126,38445,72,29445,54,9000,"","","","","",""
"20.42.73.30",69,31345,43,12062,26,19283,"","","","","",""
"20.43.150.84",26,9909,15,7432,11,2477,"","","","","",""
"20.44.229.112",34,17128,21,11314,13,5814,"","","","","",""
"20.189.173.28",40,19428,26,6363,14,13065,"","","","","",""
"23.216.63.114",22,9538,13,8483,9,1055,"","","","","",""
"40.69.42.241",109,104986,91,16530,18,88456,"","","","","",""
"40.119.249.228",130,36472,74,26142,56,10330,"","","","","",""
"40.126.14.160",35,23385,23,17262,12,6123,"","","","","",""
"40.126.14.163",38,31930,28,24007,10,7923,"","","","","",""
"52.98.128.34",174,35589,88,15349,86,20240,"","","","","",""
"52.123.129.14",106,57302,64,47047,42,10255,"","","","","",""
"52.167.17.97",152,40670,86,30834,66,9836,"","","","","",""
"52.182.143.208",27,10229,15,7856,12,2373,"","","","","",""
"68.218.189.9",6,366,3,180,3,186,"","","","","",""
"72.147.149.16",30,9921,17,6566,13,3355,"","","","","",""
"72.153.5.132",25,5352,14,4069,11,1283,"","","","","",""
"89.42.218.88",40,4756,20,3052,20,1704,"","","","","",""
"104.98.248.186",22,9193,11,7793,11,1400,"","","","","",""
"104.98.252.15",25,11100,15,9842,10,1258,"","","","","",""
"104.208.16.90",33,12753,18,8077,15,4676,"","","","","",""
"104.208.16.92",29,12093,17,5698,12,6395,"","","","","",""
"149.210.234.234",197,77636,116,70820,81,6816,"","","","","",""
"150.171.22.17",25,5085,14,1722,11,3363,"","","","","",""
"172.172.255.218",19,1504,9,874,10,630,"","","","","",""
"184.84.150.56",70,25826,40,15854,30,9972,"","","","","",""
"192.168.0.47",38,2466,7,420,31,2046,"","","","","",""
"192.168.0.191",30,1950,5,300,25,1650,"","","","","",""
"192.168.1.112",8,516,2,120,6,396,"","","","","",""
"192.168.4.55",30,1950,5,300,25,1650,"","","","","",""
"192.168.4.82",30,1950,5,300,25,1650,"","","","","",""
"192.168.20.4",36,2280,16,960,20,1320,"","","","","",""
"192.168.86.47",30,1950,5,300,25,1650,"","","","","",""
"192.168.147.1",88,23624,88,23624,0,0,"","","","","",""
"192.168.147.2",122,15185,46,8040,76,7145,"","","","","",""
"192.168.147.134",2162,774526,984,300889,1178,473637,"","","","","",""
"192.168.147.254",2,700,1,342,1,358,"","","","","",""
"224.0.0.22",5,270,0,0,5,270,"","","","","",""
"224.0.0.251",42,3000,0,0,42,3000,"","","","","",""
"224.0.0.252",21,1355,0,0,21,1355,"","","","","",""
"239.255.255.250",28,19544,0,0,28,19544,"","","","","",""
