Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"35.241.39.12",443,56,17787,31,8973,25,8814
"151.101.81.91",443,708,813186,566,795221,142,17965
"172.172.255.216",443,3,170,1,60,2,110
"192.168.4.27",7680,1,60,1,60,0,0
"192.168.86.250",7680,1,60,1,60,0,0
"192.168.147.134",53545,3,170,2,110,1,60
"192.168.147.134",53572,1,60,0,0,1,60
"192.168.147.134",53573,1,60,0,0,1,60
"192.168.147.134",53574,15,3812,7,2514,8,1298
"192.168.147.134",53575,19,8110,8,2340,11,5770
"192.168.147.134",53576,14,7076,6,2168,8,4908
"192.168.147.134",53577,13,7022,5,2114,8,4908
"192.168.147.134",53578,14,6980,6,2072,8,4908
"192.168.147.134",53579,650,784776,118,9325,532,775451
"192.168.147.134",53580,17,7332,7,2286,10,5046
"192.168.147.134",53581,22,5865,10,3960,12,1905
