Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"13.70.178.62",443,33,13506,18,10328,15,3178
"13.107.5.93",443,33,18975,21,17005,12,1970
"20.4.130.154",443,42,12813,24,9813,18,3000
"20.44.229.112",443,30,16900,19,11194,11,5706
"20.189.173.28",443,40,19428,26,6363,14,13065
"40.119.249.228",443,130,36472,74,26142,56,10330
"40.126.14.163",443,34,31702,26,23887,8,7815
"52.98.128.34",443,11,5358,6,4781,5,577
"52.123.129.14",443,70,48354,46,43495,24,4859
"52.167.17.97",443,127,33268,72,25714,55,7554
"52.182.143.208",443,23,10001,13,7736,10,2265
"68.218.189.9",443,6,366,3,180,3,186
"89.42.218.88",80,20,2378,10,1526,10,852
"104.208.16.90",443,33,12753,18,8077,15,4676
"149.210.234.234",3333,66,23391,38,20880,28,2511
"150.171.22.17",443,25,5085,14,1722,11,3363
"172.172.255.218",443,9,722,4,407,5,315
"184.84.150.56",443,66,25598,38,15734,28,9864
"192.168.0.47",7680,20,1296,4,240,16,1056
"192.168.0.191",7680,6,390,1,60,5,330
"192.168.1.112",7680,8,516,2,120,6,396
"192.168.4.55",7680,12,780,2,120,10,660
"192.168.4.82",7680,6,390,1,60,5,330
"192.168.20.4",7680,9,570,4,240,5,330
"192.168.86.47",7680,12,780,2,120,10,660
"192.168.147.134",50767,5,285,3,165,2,120
"192.168.147.134",50783,4,437,2,150,2,287
"192.168.147.134",50804,2,114,1,54,1,60
"192.168.147.134",50815,66,23391,28,2511,38,20880
"192.168.147.134",50848,6,366,3,186,3,180
"192.168.147.134",50851,2,126,1,66,1,60
"192.168.147.134",50852,2,126,1,66,1,60
"192.168.147.134",50854,1,60,0,0,1,60
"192.168.147.134",50855,33,12753,15,4676,18,8077
"192.168.147.134",50856,6,390,5,330,1,60
"192.168.147.134",50857,40,19428,14,13065,26,6363
"192.168.147.134",50858,25,5085,11,3363,14,1722
"192.168.147.134",50859,51,43820,15,2161,36,41659
"192.168.147.134",50860,6,390,5,330,1,60
"192.168.147.134",50861,25,6393,11,1301,14,5092
"192.168.147.134",50862,25,6433,11,1322,14,5111
"192.168.147.134",50863,26,7056,11,1860,15,5196
"192.168.147.134",50864,6,390,5,330,1,60
"192.168.147.134",50865,26,6954,11,1742,15,5212
"192.168.147.134",50866,25,6432,11,1329,14,5103
"192.168.147.134",50867,27,8656,11,3108,16,5548
"192.168.147.134",50868,25,6433,11,1322,14,5111
"192.168.147.134",50869,25,6398,11,1323,14,5075
"192.168.147.134",50870,25,6461,11,1350,14,5111
"192.168.147.134",50871,28,8524,12,3227,16,5297
"192.168.147.134",50872,21,6408,9,1500,12,4908
"192.168.147.134",50873,6,390,5,330,1,60
"192.168.147.134",50874,6,390,5,330,1,60
"192.168.147.134",50875,33,18975,12,1970,21,17005
"192.168.147.134",50876,9,570,5,330,4,240
"192.168.147.134",50877,45,22937,17,8462,28,14475
"192.168.147.134",50878,19,2547,10,1348,9,1199
"192.168.147.134",50879,6,390,5,330,1,60
"192.168.147.134",50880,18,4474,9,2698,9,1776
"192.168.147.134",50881,6,390,5,330,1,60
"192.168.147.134",50882,6,390,5,330,1,60
"192.168.147.134",50883,6,390,5,330,1,60
"192.168.147.134",50884,21,6405,9,1500,12,4905
"192.168.147.134",50885,23,10001,10,2265,13,7736
"192.168.147.134",50886,30,16900,11,5706,19,11194
"192.168.147.134",50887,10,1189,5,426,5,763
"192.168.147.134",50888,10,1189,5,426,5,763
"192.168.147.134",50889,33,13506,15,3178,18,10328
"192.168.147.134",50890,11,5358,5,577,6,4781
"192.168.147.134",50891,34,31702,8,7815,26,23887
"192.168.147.134",50892,6,390,5,330,1,60
