Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"13.70.178.62",33,13506,18,10328,15,3178,"","","","","",""
"13.107.5.93",33,18975,21,17005,12,1970,"","","","","",""
"20.4.130.154",42,12813,24,9813,18,3000,"","","","","",""
"20.44.229.112",30,16900,19,11194,11,5706,"","","","","",""
"20.189.173.28",40,19428,26,6363,14,13065,"","","","","",""
"40.119.249.228",130,36472,74,26142,56,10330,"","","","","",""
"40.126.14.163",34,31702,26,23887,8,7815,"","","","","",""
"52.98.128.34",11,5358,6,4781,5,577,"","","","","",""
"52.123.129.14",70,48354,46,43495,24,4859,"","","","","",""
"52.167.17.97",127,33268,72,25714,55,7554,"","","","","",""
"52.182.143.208",23,10001,13,7736,10,2265,"","","","","",""
"68.218.189.9",6,366,3,180,3,186,"","","","","",""
"89.42.218.88",20,2378,10,1526,10,852,"","","","","",""
"104.208.16.90",33,12753,18,8077,15,4676,"","","","","",""
"149.210.234.234",66,23391,38,20880,28,2511,"","","","","",""
"150.171.22.17",25,5085,14,1722,11,3363,"","","","","",""
"172.172.255.218",9,722,4,407,5,315,"","","","","",""
"184.84.150.56",66,25598,38,15734,28,9864,"","","","","",""
"192.168.0.47",20,1296,4,240,16,1056,"","","","","",""
"192.168.0.191",6,390,1,60,5,330,"","","","","",""
"192.168.1.112",8,516,2,120,6,396,"","","","","",""
"192.168.4.55",12,780,2,120,10,660,"","","","","",""
"192.168.4.82",6,390,1,60,5,330,"","","","","",""
"192.168.20.4",9,570,4,240,5,330,"","","","","",""
"192.168.86.47",12,780,2,120,10,660,"","","","","",""
"192.168.147.1",26,10588,26,10588,0,0,"","","","","",""
"192.168.147.2",41,5389,16,3068,25,2321,"","","","","",""
"192.168.147.134",912,327181,410,88169,502,239012,"","","","","",""
"224.0.0.251",8,560,0,0,8,560,"","","","","",""
"224.0.0.252",4,256,0,0,4,256,"","","","","",""
"239.255.255.250",14,9772,0,0,14,9772,"","","","","",""
