Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",474,129563,233,30218,241,99345
"00:50:56:c0:00:08",107,26066,107,26066,0,0
"00:50:56:e5:56:f1",456,127551,241,99063,215,28488
"00:50:56:f0:fe:43",4,802,2,402,2,400
"01:00:5e:00:00:16",5,270,0,0,5,270
"01:00:5e:00:00:fb",24,1740,0,0,24,1740
"01:00:5e:00:00:fc",13,843,0,0,13,843
"01:00:5e:7f:ff:fa",14,9772,0,0,14,9772
"33:33:00:00:00:0c",14,10052,0,0,14,10052
"33:33:00:00:00:16",5,450,0,0,5,450
"33:33:00:00:00:fb",24,2220,0,0,24,2220
"33:33:00:01:00:03",13,1103,0,0,13,1103
"33:33:ff:c5:26:3b",11,946,0,0,11,946
"ff:ff:ff:ff:ff:ff",2,120,0,0,2,120
