Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"3.163.44.8",443,32,16472,20,13492,12,2980
"3.169.252.79",443,661,662042,445,648079,216,13963
"3.175.96.32",443,243,205610,166,196807,77,8803
"3.175.96.49",443,46,15734,26,11304,20,4430
"3.175.96.88",443,113,97485,75,92721,38,4764
"20.189.173.5",443,36,17489,22,6098,14,11391
"20.190.142.165",443,38,31874,26,23843,12,8031
"34.214.214.214",443,90,30764,48,14585,42,16179
"35.241.39.12",443,19,8110,11,5770,8,2340
"40.99.133.146",443,4,228,2,120,2,108
"52.10.68.32",443,74,26687,43,7721,31,18966
"52.39.83.171",443,105,25185,58,12988,47,12197
"52.39.136.235",443,38,11295,22,4915,16,6380
"52.88.52.168",443,466,107973,331,48893,135,59080
"52.88.191.144",443,80,41083,56,35455,24,5628
"72.154.7.96",443,23,5671,12,3750,11,1921
"99.84.215.33",443,3239,3650327,2447,3595712,792,54615
"99.84.215.115",443,21,9225,12,6862,9,2363
"104.98.252.15",443,23,9657,13,8399,10,1258
"142.250.70.164",443,18,9304,10,6966,8,2338
"146.75.69.32",443,26,8770,15,5780,11,2990
"192.168.20.4",7680,9,570,4,240,5,330
"192.168.147.134",50118,4,228,2,108,2,120
"192.168.147.134",50197,9,546,1,66,8,480
"192.168.147.134",50198,9,546,1,66,8,480
"192.168.147.134",50199,19,1146,1,66,18,1080
"192.168.147.134",50200,19,1146,1,66,18,1080
"192.168.147.134",50201,19,1146,1,66,18,1080
"192.168.147.134",50202,19,1146,1,66,18,1080
"192.168.147.134",50203,19,1146,1,66,18,1080
"192.168.147.134",50204,19,1146,1,66,18,1080
"192.168.147.134",50205,113,97485,38,4764,75,92721
"192.168.147.134",50206,32,16472,12,2980,20,13492
"192.168.147.134",50207,10,3798,5,2044,5,1754
"192.168.147.134",50208,60,22212,27,11968,33,10244
"192.168.147.134",50209,16,6164,7,2280,9,3884
"192.168.147.134",50210,12,5579,5,2012,7,3567
"192.168.147.134",50211,12,5643,5,2076,7,3567
"192.168.147.134",50212,11,5280,5,2012,6,3268
"192.168.147.134",50213,46,32650,15,3212,31,29438
"192.168.147.134",50214,16,7341,7,2284,9,5057
"192.168.147.134",50215,243,205610,77,8803,166,196807
"192.168.147.134",50216,20,9203,8,2341,12,6862
"192.168.147.134",50217,3171,3615327,764,44102,2407,3571225
"192.168.147.134",50218,19,8110,8,2340,11,5770
"192.168.147.134",50219,14,8466,5,2019,9,6447
"192.168.147.134",50220,10,3817,5,2083,5,1734
"192.168.147.134",50221,13,8235,5,2019,8,6216
"192.168.147.134",50222,11,5279,5,2051,6,3228
"192.168.147.134",50223,26,8770,11,2990,15,5780
"192.168.147.134",50224,46,15734,20,4430,26,11304
"192.168.147.134",50225,18,9304,8,2338,10,6966
"192.168.147.134",50226,48,16943,22,11474,26,5469
"192.168.147.134",50227,19,1146,1,66,18,1080
"192.168.147.134",50228,19,1146,1,66,18,1080
"192.168.147.134",50229,19,1146,1,66,18,1080
"192.168.147.134",50230,19,1146,1,66,18,1080
"192.168.147.134",50231,107,30894,49,24554,58,6340
"192.168.147.134",50232,27,11936,11,6332,16,5604
"192.168.147.134",50233,90,30764,42,16179,48,14585
"192.168.147.134",50234,45,13444,20,5417,25,8027
"192.168.147.134",50235,21,9225,9,2363,12,6862
"192.168.147.134",50236,661,662042,216,13963,445,648079
"192.168.147.134",50237,38,11295,16,6380,22,4915
"192.168.147.134",50238,60,11741,27,6780,33,4961
"192.168.147.134",50239,23,5671,11,1921,12,3750
"192.168.147.134",50240,23,9657,10,1258,13,8399
"192.168.147.134",50241,36,17489,14,11391,22,6098
"192.168.147.134",50242,47,14751,20,12634,27,2117
"192.168.147.134",50243,38,31874,12,8031,26,23843
"192.168.147.134",50247,9,570,5,330,4,240
