Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"3.169.252.79",443,212,201692,143,191292,69,10400
"3.175.96.32",443,73,64622,44,55292,29,9330
"3.175.96.49",443,79,45107,41,31551,38,13556
"3.175.96.88",443,1226,1544026,1033,1515862,193,28164
"35.241.39.12",443,53,24690,25,15241,28,9449
"99.84.215.115",443,23,15677,12,10632,11,5045
"142.250.70.164",443,100,68327,61,59889,39,8438
"192.168.147.1",5353,20,1400,20,1400,0,0
"192.168.147.1",49682,1,64,1,64,0,0
"192.168.147.1",50695,14,9772,14,9772,0,0
"192.168.147.1",52371,1,64,1,64,0,0
"192.168.147.1",54634,1,64,1,64,0,0
"192.168.147.1",54815,1,64,1,64,0,0
"192.168.147.1",55316,1,64,1,64,0,0
"192.168.147.1",55734,1,64,1,64,0,0
"192.168.147.1",56155,1,64,1,64,0,0
"192.168.147.1",56821,1,64,1,64,0,0
"192.168.147.1",57179,1,64,1,64,0,0
"192.168.147.1",58660,1,64,1,64,0,0
"192.168.147.2",53,122,14879,61,9898,61,4981
"192.168.147.2",137,6,660,0,0,6,660
"192.168.147.134",68,2,700,1,358,1,342
"192.168.147.134",137,6,660,6,660,0,0
"192.168.147.134",5353,5,446,5,446,0,0
"192.168.147.134",50065,4,304,2,152,2,152
"192.168.147.134",50490,10,924,5,383,5,541
"192.168.147.134",50742,2,307,1,86,1,221
"192.168.147.134",51014,2,295,1,87,1,208
"192.168.147.134",51072,2,230,1,83,1,147
"192.168.147.134",51083,2,285,1,80,1,205
"192.168.147.134",51515,19,14287,8,4877,11,9410
"192.168.147.134",52130,2,223,1,80,1,143
"192.168.147.134",52232,2,295,1,87,1,208
"192.168.147.134",52638,2,253,1,83,1,170
"192.168.147.134",52755,2,250,1,83,1,167
"192.168.147.134",53157,10,944,5,398,5,546
"192.168.147.134",53535,2,267,1,80,1,187
"192.168.147.134",53768,100,68327,39,8438,61,59889
"192.168.147.134",53834,14,1468,7,597,7,871
"192.168.147.134",54128,2,253,1,83,1,170
"192.168.147.134",54469,212,201692,69,10400,143,191292
"192.168.147.134",55269,2,267,1,80,1,187
"192.168.147.134",55363,2,281,1,87,1,194
"192.168.147.134",55373,2,300,1,86,1,214
"192.168.147.134",55436,2,271,1,82,1,189
"192.168.147.134",55762,2,294,1,83,1,211
"192.168.147.134",55812,1207,1529739,185,23287,1022,1506452
"192.168.147.134",56075,73,64622,29,9330,44,55292
"192.168.147.134",56244,2,164,1,74,1,90
"192.168.147.134",56951,2,170,1,74,1,96
"192.168.147.134",56989,2,348,1,80,1,268
"192.168.147.134",57202,2,288,1,82,1,206
"192.168.147.134",57270,2,298,1,80,1,218
"192.168.147.134",57527,2,222,1,79,1,143
"192.168.147.134",57584,2,256,1,86,1,170
"192.168.147.134",57814,2,348,1,80,1,268
"192.168.147.134",57892,1,75,1,75,0,0
"192.168.147.134",58118,2,230,1,83,1,147
"192.168.147.134",58488,2,321,1,86,1,235
"192.168.147.134",59050,2,256,1,86,1,170
"192.168.147.134",60118,2,188,1,86,1,102
"192.168.147.134",60277,79,45107,38,13556,41,31551
"192.168.147.134",60446,2,281,1,87,1,194
"192.168.147.134",60763,2,300,1,86,1,214
"192.168.147.134",62254,53,24690,28,9449,25,15241
"192.168.147.134",63008,2,252,1,86,1,166
"192.168.147.134",63063,2,300,1,86,1,214
"192.168.147.134",63084,2,245,1,79,1,166
"192.168.147.134",63331,2,281,1,80,1,201
"192.168.147.134",63388,2,265,1,80,1,185
"192.168.147.134",63992,2,250,1,83,1,167
"192.168.147.134",64094,2,298,1,80,1,218
"192.168.147.134",64891,23,15677,11,5045,12,10632
"192.168.147.134",64912,2,256,1,86,1,170
"192.168.147.134",64927,2,294,1,83,1,211
"192.168.147.134",65094,8,1057,4,309,4,748
"192.168.147.254",67,2,700,1,342,1,358
"224.0.0.251",5353,25,1846,0,0,25,1846
"224.0.0.252",5355,11,715,0,0,11,715
"239.255.255.250",3702,14,9772,0,0,14,9772
"fe80::ac08:6dea:f4ee:6ad5",5353,20,1800,20,1800,0,0
"fe80::ac08:6dea:f4ee:6ad5",49682,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",50696,14,10052,14,10052,0,0
"fe80::ac08:6dea:f4ee:6ad5",52371,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",54634,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",54815,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",55316,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",55734,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",56155,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",56821,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",57179,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",58660,1,84,1,84,0,0
"fe80::db38:a9a8:f21f:b66c",5353,5,546,5,546,0,0
"fe80::db38:a9a8:f21f:b66c",57892,1,95,1,95,0,0
"ff02::1:3",5355,11,935,0,0,11,935
"ff02::c",3702,14,10052,0,0,14,10052
"ff02::fb",5353,25,2346,0,0,25,2346
