Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"4.200.174.193",1820,2045815,1361,2014753,459,31062,"","","","","",""
"4.200.174.196",11,1993,5,1256,6,737,"","","","","",""
"13.89.179.11",28,11623,14,5518,14,6105,"","","","","",""
"13.95.31.18",121,176158,86,10842,35,165316,"","","","","",""
"13.107.5.93",39,18180,24,12735,15,5445,"","","","","",""
"13.107.137.11",22,9734,12,8429,10,1305,"","","","","",""
"13.107.213.32",382,297283,254,269852,128,27431,"","","","","",""
"13.107.213.59",409,353748,274,329676,135,24072,"","","","","",""
"13.107.246.32",163,139235,108,129417,55,9818,"","","","","",""
"13.107.246.59",125,88236,81,82219,44,6017,"","","","","",""
"20.42.73.24",28,11810,14,5518,14,6292,"","","","","",""
"20.42.73.25",23,11748,11,5302,12,6446,"","","","","",""
"20.189.173.9",28,12067,13,5422,15,6645,"","","","","",""
"20.189.173.16",25,11224,12,5362,13,5862,"","","","","",""
"20.189.173.25",55,25325,27,10976,28,14349,"","","","","",""
"20.189.173.28",35,20656,20,5880,15,14776,"","","","","",""
"20.190.142.41",3,168,1,60,2,108,"","","","","",""
"20.190.167.21",63,44170,37,31884,26,12286,"","","","","",""
"20.190.167.65",29,14999,14,10224,15,4775,"","","","","",""
"23.60.148.23",40,20168,25,15498,15,4670,"","","","","",""
"23.60.149.178",64,28884,33,25068,31,3816,"","","","","",""
"23.100.109.78",1,54,0,0,1,54,"","","","","",""
"23.214.90.40",26,11361,14,9574,12,1787,"","","","","",""
"23.214.90.131",26,9211,11,1092,15,8119,"","","","","",""
"23.216.63.106",126,113770,85,110395,41,3375,"","","","","",""
"23.216.63.122",69,20544,33,14531,36,6013,"","","","","",""
"23.220.77.11",44,16668,24,10184,20,6484,"","","","","",""
"23.223.224.125",44,19064,22,16189,22,2875,"","","","","",""
"40.99.128.210",9,1457,3,502,6,955,"","","","","",""
"40.99.132.50",44,13270,17,7109,27,6161,"","","","","",""
"40.119.249.228",95,35067,45,20750,50,14317,"","","","","",""
"52.123.128.14",142,76371,85,64246,57,12125,"","","","","",""
"52.167.17.97",27,14311,14,9719,13,4592,"","","","","",""
"52.191.219.104",48,13804,22,9800,26,4004,"","","","","",""
"72.154.7.109",46,11300,20,7261,26,4039,"","","","","",""
"72.154.7.110",44,11246,20,7261,24,3985,"","","","","",""
"72.154.7.112",23,5178,10,3791,13,1387,"","","","","",""
"72.154.7.248",26,8931,12,6073,14,2858,"","","","","",""
"74.178.232.29",27,9969,13,5421,14,4548,"","","","","",""
"92.223.78.30",1427,1341453,952,1277041,475,64412,"","","","","",""
"100.74.128.1",15,1650,15,1650,0,0,"","","","","",""
"104.18.33.89",85,77893,64,73886,21,4007,"","","","","",""
"104.98.3.80",45,21604,22,8292,23,13312,"","","","","",""
"104.119.101.196",5,307,2,145,3,162,"","","","","",""
"123.253.149.25",29,4301,14,2159,15,2142,"","","","","",""
"123.253.149.33",25,9982,13,5955,12,4027,"","","","","",""
"123.253.149.73",44,17389,26,12526,18,4863,"","","","","",""
"123.253.149.90",213,141373,129,126920,84,14453,"","","","","",""
"135.18.128.210",342,407185,254,293611,88,113574,"","","","","",""
"142.250.70.206",32,18524,17,11022,15,7502,"","","","","",""
"142.250.70.227",34,18812,18,10841,16,7971,"","","","","",""
"142.250.76.99",14,2061,6,1015,8,1046,"","","","","",""
"146.75.70.172",19,2547,10,1197,9,1350,"","","","","",""
"150.171.22.17",60,22811,34,16100,26,6711,"","","","","",""
"150.171.27.11",66,27631,40,19401,26,8230,"","","","","",""
"150.171.28.11",68,36632,43,11446,25,25186,"","","","","",""
"172.28.48.1",497,167702,358,156397,139,11305,"","","","","",""
"172.28.58.189",7262,5946866,2559,739795,4703,5207071,"","","","","",""
"172.28.63.255",5,1215,0,0,5,1215,"","","","","",""
"172.64.154.167",24,1457,12,801,12,656,"","","","","",""
"172.172.255.216",32,2441,15,1308,17,1133,"","","","","",""
"192.168.86.47",15,990,0,0,15,990,"","","","","",""
"224.0.0.251",36,2952,0,0,36,2952,"","","","","",""
"239.255.255.250",184,112016,0,0,184,112016,"","","","","",""
