Process	PID	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
svchost.exe	8304			
svchost.exe	3468			
svchost.exe	20940			
svchost.exe	17552			
StartMenuExperienceHost.exe	7404			
spoolsv.exe	3632			
smss.exe	768			
sihost.exe	11284			
ShellHost.exe	12972			
ShellHost.exe	20868			3.1  KB
ShellExperienceHost.exe	15644			
services.exe	1116			
SecurityHealthSystray.exe	9232			
SecurityHealthService.exe	10336			
SearchProtocolHost.exe	21448			
SearchIndexer.exe	8220			
SearchHost.exe	3088			
SearchFilterHost.exe	20800			
RuntimeBroker.exe	10824			
RuntimeBroker.exe	4016			
RuntimeBroker.exe	15960			
RuntimeBroker.exe	9556			
RuntimeBroker.exe	13024			
RuntimeBroker.exe	8168			
Registry	292			
rdpclip.exe	7792			
powershell.exe	5720			
OpenConsole.exe	14460			
OneDrive.Sync.Service.exe	796			
NisSrv.exe	3484			
mysqld.exe	13872			
MsMpEng.exe	4132			
msedgewebview2.exe	3880			
msedgewebview2.exe	5056			
msedgewebview2.exe	14128			
msedgewebview2.exe	14948			
msedgewebview2.exe	13644			
msedgewebview2.exe	2716			
msedgewebview2.exe	10384			
msedgewebview2.exe	11676			
msedgewebview2.exe	14756			
msedgewebview2.exe	10528			
msedgewebview2.exe	9996			
msedgewebview2.exe	16268			
msedge.exe	19048			
msedge.exe	18848			
msedge.exe	18884			
msedge.exe	18908			
msedge.exe	19328			
msdtc.exe	920			
MpDefenderCoreService.exe	4140			
MoUsoCoreWorker.exe	11876			
Memory Compression	2616			
lsass.exe	1136			
LogonUI.exe	13136			
Interrupts	n/a			
httpd.exe	1584			
httpd.exe	6464			
fontdrvhost.exe	1300			
fontdrvhost.exe	1308			
fontdrvhost.exe	13196			
FileCoAuth.exe	11488			
explorer.exe	10576			
dwm.exe	1516			
dwm.exe	14964			
dllhost.exe	4180			
dllhost.exe	16148			
dllhost.exe	1060			
dllhost.exe	16488			332 B
csrss.exe	984			
csrss.exe	864			
csrss.exe	6852			
CrossDeviceResume.exe	3916			
CredentialEnrollmentManager.exe	8948			530 B
conhost.exe	14096			
conhost.exe	5212			
CHXSmartScreen.exe	1316			
BraveCrashHandler64.exe	7308			
BraveCrashHandler.exe	7260			
backgroundTaskHost.exe	14132			183.8  KB
backgroundTaskHost.exe	17532			
backgroundTaskHost.exe	2472			183.8  KB
backgroundTaskHost.exe	15308			183.8  KB
backgroundTaskHost.exe	13664			8.6  KB
backgroundTaskHost.exe	16592			6.0  KB
backgroundTaskHost.exe	18564			183.9  KB
backgroundTaskHost.exe	13552			183.9  KB
backgroundTaskHost.exe	21296			
ApplicationFrameHost.exe	12060			
AppActions.exe	15104			
AggregatorHost.exe	5652			

