Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.01	0.14	273	0	0.01	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	23.78	35	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.62	8	539	0.00	Normal
services	1	0.01	6.12	7	687	0.00	Normal
lsass	1	0.00	18.05	9	0	0.00	Normal
svchost	79	0.04	629.13	454	0	0.01	Normal
fontdrvhost	3	-0.00	9.18	15	111	0.00	Normal
dwm	2	0.02	73.29	30	0	0.00	Normal
Memory Compression	1	0.02	166.75	141	0	0.00	Normal
spoolsv	1	0.00	3.97	10	434	0.00	Normal
vmtoolsd	2	0.00	20.10	18	669	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	4.04	11	391	0.00	Normal
MsMpEng	1	0.03	230.72	64	0	0.00	Normal
MpDefenderCoreService	1	0.00	9.52	10	500	0.00	Normal
dllhost	6	0.00	46.09	38	0	0.00	Normal
msdtc	1	0.00	0.35	9	237	0.00	Normal
AggregatorHost	1	0.00	5.59	2	136	0.00	Normal
NisSrv	1	0.00	4.07	3	213	0.00	Normal
SgrmBroker	1	0.00	4.76	6	107	0.00	Normal
uhssvc	1	0.00	11.54	3	273	0.00	Normal
SearchIndexer	1	0.01	47.84	16	0	0.01	Normal
SecurityHealthService	1	0.00	13.21	12	660	0.00	Normal
sihost	2	0.00	47.15	25	0	0.00	Normal
taskhostw	2	0.00	15.73	13	589	0.00	Normal
explorer	2	0.20	282.82	151	0	0.00	Normal
ctfmon	2	0.01	11.73	22	884	0.00	Normal
Widgets	2	0.00	27.32	34	0	0.00	Normal
WidgetService	2	0.00	12.33	9	600	0.00	Normal
SearchHost	2	0.00	126.98	120	0	0.00	Normal
StartMenuExperienceHost	2	0.00	95.26	32	0	0.00	Normal
RuntimeBroker	13	0.00	181.03	55	0	0.00	Normal
PhoneExperienceHost	1	0.00	16.35	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	6.77	2	364	0.00	Normal
msteams	1	0.00	17.60	53	831	0.00	Normal
msedgewebview2	6	0.00	27.94	141	0	0.00	Normal
WindowsPackageManagerServer	1	0.00	5.21	4	402	0.00	Normal
OneDrive	1	-0.00	17.21	23	899	-0.00	Normal
OneDrive.Sync.Service	2	0.00	28.38	31	0	0.00	Normal
MoUsoCoreWorker	1	0.00	9.23	7	401	0.00	Normal
StoreDesktopExtension	2	0.00	3.02	6	626	0.00	Normal
WinStore.App	2	0.00	25.58	21	0	0.00	Normal
ShellExperienceHost	2	0.01	93.96	50	0	0.00	Normal
SearchProtocolHost	1	0.01	22.53	8	502	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.60	4	215	0.00	Normal
SearchFilterHost	2	0.00	7.81	6	459	0.00	Normal
ApplicationFrameHost	1	0.00	24.34	2	413	0.00	Normal
MoNotificationUx	1	0.00	2.07	4	262	0.00	Normal
LogonUI	1	0.00	3.88	5	325	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.19	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.70	1	338	0.00	Normal
audiodg	1	0.01	12.37	5	222	0.00	Normal
conhost	1	0.00	11.23	3	129	0.00	Normal
EasyMiner	1	0.03	49.13	11	514	0.00	Normal
minerdcpu	1	6.25	19.76	19	272	0.00	Normal
msedge	8	0.01	380.18	168	0	0.17	Normal
HxTsr	1	0.00	21.03	14	332	0.00	Normal
SystemSettingsBroker	1	0.00	20.44	1	240	0.00	Normal
