Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.01	0.14	258	0	0.01	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	22.76	34	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.62	8	539	0.00	Normal
services	1	0.00	6.11	7	683	0.00	Normal
lsass	1	0.00	17.82	9	0	0.00	Normal
svchost	80	0.03	616.91	433	0	0.01	Normal
fontdrvhost	3	-0.00	8.79	15	111	0.00	Normal
dwm	2	0.01	66.81	29	0	0.00	Normal
Memory Compression	1	0.02	198.95	161	0	0.00	Normal
spoolsv	1	0.00	3.95	10	434	0.00	Normal
vmtoolsd	2	0.00	19.62	17	669	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	4.00	11	391	0.00	Normal
MsMpEng	1	0.02	214.94	63	0	0.00	Normal
MpDefenderCoreService	1	0.00	9.80	9	499	0.00	Normal
dllhost	6	0.00	42.93	34	0	0.00	Normal
msdtc	1	0.00	0.35	9	237	0.00	Normal
AggregatorHost	1	0.00	5.62	2	136	0.00	Normal
NisSrv	1	0.00	3.83	3	213	0.00	Normal
SgrmBroker	1	0.00	4.23	6	107	0.00	Normal
uhssvc	1	0.00	11.39	3	270	0.00	Normal
SearchIndexer	1	0.01	48.37	16	992	0.01	Normal
SecurityHealthService	1	0.00	12.81	12	577	0.00	Normal
sihost	2	0.00	47.35	24	0	0.00	Normal
taskhostw	2	0.00	15.19	13	586	0.00	Normal
explorer	2	0.05	273.32	149	0	0.00	Normal
ctfmon	2	0.00	11.66	22	884	0.00	Normal
Widgets	2	0.00	27.39	36	0	0.00	Normal
WidgetService	2	0.00	12.33	9	600	0.00	Normal
SearchHost	2	0.00	125.87	120	0	0.00	Normal
StartMenuExperienceHost	2	0.00	88.15	31	0	0.00	Normal
RuntimeBroker	13	0.00	175.28	53	0	0.00	Normal
PhoneExperienceHost	1	0.00	16.46	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	6.45	2	364	0.00	Normal
msteams	1	0.00	17.62	53	831	0.00	Normal
msedgewebview2	6	0.00	23.88	141	0	0.00	Normal
WindowsPackageManagerServer	1	0.00	4.73	4	403	0.00	Normal
OneDrive	1	0.00	16.85	23	899	0.00	Normal
OneDrive.Sync.Service	2	0.00	28.95	32	0	0.00	Normal
MoUsoCoreWorker	1	0.00	9.99	7	398	0.00	Normal
StoreDesktopExtension	2	0.00	3.02	6	626	0.00	Normal
WinStore.App	2	0.00	23.99	21	0	0.00	Normal
ShellExperienceHost	2	0.01	88.76	48	0	0.00	Normal
SearchProtocolHost	1	0.01	22.26	6	457	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.73	4	215	0.00	Normal
SearchFilterHost	2	0.00	7.86	7	461	0.00	Normal
ApplicationFrameHost	1	0.00	24.23	2	413	0.00	Normal
MoNotificationUx	1	0.00	2.07	4	262	0.00	Normal
LogonUI	1	0.00	3.87	5	325	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.19	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.19	1	338	0.00	Normal
audiodg	1	0.01	12.30	5	220	0.00	Normal
conhost	1	0.00	7.39	3	129	0.00	Normal
EasyMiner	1	0.03	45.54	11	517	0.00	Normal
minerdcpu	1	6.25	19.06	19	272	0.00	Normal
msedge	9	0.01	318.31	169	0	0.20	Normal
HxTsr	1	0.00	21.96	14	334	0.00	Normal
SystemSettingsBroker	1	0.00	18.03	1	237	0.00	Normal
