Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"13.107.213.32",7,453,4,291,3,162,"","","","","",""
"20.190.142.41",3,168,1,60,2,108,"","","","","",""
"20.190.167.21",29,26904,19,19439,10,7465,"","","","","",""
"23.100.109.78",1,54,0,0,1,54,"","","","","",""
"23.214.90.40",21,11061,12,9436,9,1625,"","","","","",""
"23.214.90.131",26,9211,11,1092,15,8119,"","","","","",""
"40.99.128.210",9,1457,3,502,6,955,"","","","","",""
"104.119.101.196",5,307,2,145,3,162,"","","","","",""
"123.253.149.25",5,300,2,138,3,162,"","","","","",""
"123.253.149.73",7,453,4,291,3,162,"","","","","",""
"123.253.149.90",19,1206,10,720,9,486,"","","","","",""
"172.28.48.1",10,1424,8,1280,2,144,"","","","","",""
"172.28.58.189",143,52816,70,19822,73,32994,"","","","","",""
"172.64.154.167",7,410,3,192,4,218,"","","","","",""
"224.0.0.251",4,328,0,0,4,328,"","","","","",""
"239.255.255.250",2,264,0,0,2,264,"","","","","",""
