Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"20.4.130.154",443,63,19221,36,14721,27,4500
"20.190.122.23",443,33,13510,19,10382,14,3128
"20.190.142.167",443,39,31949,28,24007,11,7942
"20.227.97.55",443,4,285,2,177,2,108
"23.223.224.125",443,23,10986,14,9782,9,1204
"23.223.224.232",80,4,228,2,120,2,108
"40.99.129.194",443,25,6714,12,2979,13,3735
"51.195.237.146",6667,26,2315,17,1662,9,653
"52.123.128.14",443,40,9176,20,3672,20,5504
"54.212.144.253",443,12,720,12,720,0,0
"72.154.7.109",443,26,6374,15,4426,11,1948
"88.80.187.187",3333,67,31636,39,29458,28,2178
"142.250.70.227",80,4,228,2,120,2,108
"150.171.27.10",443,31,12511,18,8946,13,3565
"150.171.28.10",443,129,53418,77,44892,52,8526
"172.67.75.39",443,4,228,2,120,2,108
"172.172.255.216",443,7,834,4,570,3,264
"184.84.150.56",443,478,299524,308,158546,170,140978
"192.168.0.161",7680,6,390,1,60,5,330
"192.168.4.27",7680,12,780,2,120,10,660
"192.168.20.8",7680,9,570,4,240,5,330
"192.168.86.47",7680,6,390,1,60,5,330
"192.168.86.250",7680,6,390,1,60,5,330
"192.168.147.134",52344,7,834,3,264,4,570
"192.168.147.134",52813,26,2315,9,653,17,1662
"192.168.147.134",52816,67,31636,28,2178,39,29458
"192.168.147.134",53269,4,285,2,108,2,177
"192.168.147.134",53271,2,120,0,0,2,120
"192.168.147.134",53272,2,120,0,0,2,120
"192.168.147.134",53273,2,120,0,0,2,120
"192.168.147.134",53274,2,120,0,0,2,120
"192.168.147.134",53275,2,120,0,0,2,120
"192.168.147.134",53276,2,120,0,0,2,120
"192.168.147.134",53322,4,228,2,108,2,120
"192.168.147.134",53324,4,228,2,108,2,120
"192.168.147.134",53337,1,60,0,0,1,60
"192.168.147.134",53338,4,253,2,108,2,145
"192.168.147.134",53339,4,246,2,108,2,138
"192.168.147.134",53340,4,228,2,108,2,120
"192.168.147.134",53341,4,228,2,108,2,120
"192.168.147.134",53344,18,4474,9,2698,9,1776
"192.168.147.134",53357,6,390,5,330,1,60
"192.168.147.134",53358,6,390,5,330,1,60
"192.168.147.134",53359,21,6407,9,1500,12,4907
"192.168.147.134",53360,6,390,5,330,1,60
"192.168.147.134",53361,9,570,5,330,4,240
"192.168.147.134",53362,6,390,5,330,1,60
"192.168.147.134",53363,6,390,5,330,1,60
"192.168.147.134",53364,21,6407,9,1500,12,4907
"192.168.147.134",53365,307,247777,93,129561,214,118216
"192.168.147.134",53366,20,2590,10,1347,10,1243
"192.168.147.134",53367,59,38041,20,4292,39,33749
"192.168.147.134",53368,25,6714,13,3735,12,2979
"192.168.147.134",53369,21,2644,11,1401,10,1243
"192.168.147.134",53370,20,2606,10,1347,10,1259
"192.168.147.134",53371,20,2606,10,1347,10,1259
"192.168.147.134",53372,22,2720,11,1401,11,1319
"192.168.147.134",53373,27,10309,11,1442,16,8867
"192.168.147.134",53374,48,22491,19,4200,29,18291
"192.168.147.134",53375,27,10309,11,1442,16,8867
"192.168.147.134",53376,27,10309,11,1442,16,8867
"192.168.147.134",53377,31,12511,13,3565,18,8946
"192.168.147.134",53378,39,31949,11,7942,28,24007
"192.168.147.134",53379,18,4474,9,2698,9,1776
"192.168.147.134",53382,5,294,3,174,2,120
"192.168.147.134",53383,33,13510,14,3128,19,10382
"192.168.147.134",53384,25,6314,11,1948,14,4366
"192.168.147.134",53385,19,10733,7,1096,12,9637
"192.168.147.134",53386,21,6407,9,1500,12,4907
