Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",238,48621,130,13549,108,35072
"00:50:56:c0:00:08",100,25908,100,25908,0,0
"00:50:56:e5:56:f1",219,46549,107,34730,112,11819
"00:50:56:e7:26:e6",4,802,2,402,2,400
"01:00:5e:00:00:16",11,630,0,0,11,630
"01:00:5e:00:00:fb",26,2072,0,0,26,2072
"01:00:5e:00:00:fc",7,481,0,0,7,481
"01:00:5e:7f:ff:fa",16,10036,0,0,16,10036
"33:33:00:00:00:0c",14,10052,0,0,14,10052
"33:33:00:00:00:16",11,990,0,0,11,990
"33:33:00:00:00:fb",22,2184,0,0,22,2184
"33:33:00:01:00:03",7,621,0,0,7,621
"33:33:ff:c5:26:3b",2,172,0,0,2,172
"ff:ff:ff:ff:ff:ff",1,60,0,0,1,60
