Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",6110,5774578,1794,457017,4316,5317561
"00:50:56:c0:00:08",878,85244,878,85244,0,0
"00:50:56:e5:56:f1",6111,5774638,4317,5317621,1794,457017
"01:00:5e:00:00:fb",296,24972,0,0,296,24972
"01:00:5e:00:00:fc",144,12110,0,0,144,12110
"01:00:5e:7f:ff:fa",4,1660,0,0,4,1660
"33:33:00:00:00:0c",2,1436,0,0,2,1436
"33:33:00:00:00:fb",288,30076,0,0,288,30076
"33:33:00:01:00:03",144,14990,0,0,144,14990
"ff:ff:ff:ff:ff:ff",1,60,0,0,1,60
