Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"3.175.115.22",28,10507,17,7645,11,2862,"","","","","",""
"18.65.244.49",3622,4203667,2787,4014974,835,188693,"","","","","",""
"18.67.110.39",124,64424,63,42729,61,21695,"","","","","",""
"18.67.110.62",384,224988,223,166074,161,58914,"","","","","",""
"18.239.199.84",26,18714,14,13281,12,5433,"","","","","",""
"23.60.149.178",40,18953,24,16653,16,2300,"","","","","",""
"35.241.39.12",701,270782,366,172711,335,98071,"","","","","",""
"44.227.27.255",53,14871,30,7690,23,7181,"","","","","",""
"44.236.179.103",28,9632,16,6057,12,3575,"","","","","",""
"44.239.209.234",113,35493,65,9522,48,25971,"","","","","",""
"50.112.240.30",24,9379,14,5912,10,3467,"","","","","",""
"52.33.166.236",26,8676,15,4631,11,4045,"","","","","",""
"54.213.96.7",28,9664,16,6057,12,3607,"","","","","",""
"72.154.7.109",47,11456,25,7560,22,3896,"","","","","",""
"108.158.32.114",54,46020,34,39092,20,6928,"","","","","",""
"151.101.81.91",708,813186,566,795221,142,17965,"","","","","",""
"172.172.255.216",5,285,2,120,3,165,"","","","","",""
"192.168.0.161",6,390,1,60,5,330,"","","","","",""
"192.168.0.191",6,390,1,60,5,330,"","","","","",""
"192.168.4.27",1,60,1,60,0,0,"","","","","",""
"192.168.20.4",9,570,4,240,5,330,"","","","","",""
"192.168.86.250",1,60,1,60,0,0,"","","","","",""
"192.168.147.1",450,39258,450,39258,0,0,"","","","","",""
"192.168.147.2",99,12100,45,7328,54,4772,"","","","","",""
"192.168.147.134",6133,5784267,1803,460530,4330,5323737,"","","","","",""
"224.0.0.251",300,25316,0,0,300,25316,"","","","","",""
"224.0.0.252",146,12282,0,0,146,12282,"","","","","",""
"239.255.255.250",4,1660,0,0,4,1660,"","","","","",""
