Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"3.169.252.32",1407,1502693,1017,1464783,390,37910,"","","","","",""
"3.175.96.13",170,90357,90,63582,80,26775,"","","","","",""
"3.175.96.41",2676,2748766,1882,2681391,794,67375,"","","","","",""
"3.175.96.93",151,94923,84,69923,67,25000,"","","","","",""
"3.175.96.120",26,15400,14,10271,12,5129,"","","","","",""
"3.175.96.126",1536,1730609,1147,1690343,389,40266,"","","","","",""
"3.175.96.128",161,95486,92,76843,69,18643,"","","","","",""
"13.107.139.11",25,10157,15,8690,10,1467,"","","","","",""
"18.65.3.125",6056,6902367,4567,6819252,1489,83115,"","","","","",""
"18.65.244.84",404,455370,307,433110,97,22260,"","","","","",""
"18.67.110.39",144,75413,72,47917,72,27496,"","","","","",""
"23.42.238.185",126,108486,82,103565,44,4921,"","","","","",""
"23.60.149.178",19,9404,11,8254,8,1150,"","","","","",""
"23.223.224.125",23,9657,13,8399,10,1258,"","","","","",""
"23.223.225.17",25,8704,14,5643,11,3061,"","","","","",""
"34.212.196.47",114,35601,66,9578,48,26023,"","","","","",""
"35.83.229.244",53,14839,30,7690,23,7149,"","","","","",""
"35.163.49.3",114,35854,62,16760,52,19094,"","","","","",""
"35.167.191.89",101,34364,59,8943,42,25421,"","","","","",""
"35.241.39.12",135,60296,67,34108,68,26188,"","","","","",""
"44.232.193.212",67,23970,39,7359,28,16611,"","","","","",""
"44.235.209.72",58,18696,33,6940,25,11756,"","","","","",""
"44.236.212.187",200,50234,116,25131,84,25103,"","","","","",""
"44.239.209.234",27,12037,16,5567,11,6470,"","","","","",""
"52.26.247.176",28,9629,16,6056,12,3573,"","","","","",""
"52.33.16.25",93,22644,52,10702,41,11942,"","","","","",""
"52.43.74.156",85,27527,49,8235,36,19292,"","","","","",""
"52.98.128.50",55,13750,28,7766,27,5984,"","","","","",""
"52.123.129.14",126,114434,88,108318,38,6116,"","","","","",""
"52.185.211.133",25,6409,14,5111,11,1298,"","","","","",""
"54.69.149.103",139,32398,94,11439,45,20959,"","","","","",""
"54.212.37.212",53,14837,30,7690,23,7147,"","","","","",""
"54.212.144.253",145,36703,80,10345,65,26358,"","","","","",""
"72.154.7.109",52,11732,27,7674,25,4058,"","","","","",""
"99.84.215.115",16736,17972961,11873,17702723,4863,270238,"","","","","",""
"104.18.66.57",158,145318,108,140194,50,5124,"","","","","",""
"142.250.70.131",832,840030,655,811597,177,28433,"","","","","",""
"142.250.70.196",165,108016,95,85953,70,22063,"","","","","",""
"142.250.70.234",36,19674,20,13527,16,6147,"","","","","",""
"172.172.255.216",4,230,2,120,2,110,"","","","","",""
"184.84.150.59",22,9605,13,8550,9,1055,"","","","","",""
"192.168.0.161",6,390,1,60,5,330,"","","","","",""
"192.168.4.27",12,780,2,120,10,660,"","","","","",""
"192.168.20.8",9,570,4,240,5,330,"","","","","",""
"192.168.86.47",6,390,1,60,5,330,"","","","","",""
"192.168.86.250",6,390,1,60,5,330,"","","","","",""
"192.168.147.1",56,12812,56,12812,0,0,"","","","","",""
"192.168.147.2",210,24636,99,15236,111,9400,"","","","","",""
"192.168.147.134",32831,33557981,9583,981821,23248,32576160,"","","","","",""
"192.168.147.254",2,700,1,342,1,358,"","","","","",""
"224.0.0.22",5,270,0,0,5,270,"","","","","",""
"224.0.0.251",30,2208,0,0,30,2208,"","","","","",""
"224.0.0.252",13,843,0,0,13,843,"","","","","",""
"239.255.255.250",16,10036,0,0,16,10036,"","","","","",""
