Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.01	0.14	242	0	0.01	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	22.20	35	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.62	8	539	0.00	Normal
services	1	0.00	5.78	7	683	0.00	Normal
lsass	1	0.00	18.75	9	0	0.00	Normal
svchost	80	0.04	609.76	435	0	0.01	Normal
fontdrvhost	3	0.00	8.33	15	111	0.00	Normal
dwm	2	0.01	57.23	29	0	0.00	Normal
Memory Compression	1	0.02	230.40	204	0	0.00	Normal
spoolsv	1	0.00	3.77	10	434	0.00	Normal
vmtoolsd	2	0.00	15.15	17	669	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	3.91	11	391	0.00	Normal
MsMpEng	1	0.03	188.75	64	0	0.01	Normal
MpDefenderCoreService	1	0.00	10.06	10	505	0.00	Normal
dllhost	6	0.00	40.73	34	0	0.00	Normal
msdtc	1	0.00	0.35	9	237	0.00	Normal
AggregatorHost	1	0.00	5.96	3	197	0.00	Normal
NisSrv	1	0.00	3.81	3	213	0.00	Normal
SgrmBroker	1	0.00	4.66	6	107	0.00	Normal
uhssvc	1	0.00	11.28	3	268	0.00	Normal
SearchIndexer	1	0.01	51.71	16	984	0.01	Normal
SecurityHealthService	1	0.00	12.65	13	580	0.00	Normal
sihost	2	0.00	47.44	25	0	0.00	Normal
taskhostw	2	0.00	15.38	13	586	0.00	Normal
explorer	2	0.08	255.63	150	0	0.00	Normal
ctfmon	2	0.00	11.49	22	884	0.00	Normal
Widgets	2	0.00	27.65	37	0	0.00	Normal
WidgetService	2	0.00	12.33	9	600	0.00	Normal
SearchHost	2	0.00	125.39	121	0	0.00	Normal
StartMenuExperienceHost	2	0.00	87.18	31	0	0.00	Normal
RuntimeBroker	13	0.00	169.09	55	0	0.00	Normal
PhoneExperienceHost	1	0.00	16.51	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	5.77	2	365	0.00	Normal
msteams	1	0.00	17.71	53	831	0.00	Normal
msedgewebview2	6	0.00	27.89	141	0	0.00	Normal
WindowsPackageManagerServer	1	0.00	4.73	4	402	0.00	Normal
OneDrive	1	0.00	18.50	23	899	0.00	Normal
OneDrive.Sync.Service	2	0.00	31.81	31	0	0.00	Normal
MoUsoCoreWorker	1	0.00	9.41	6	399	0.00	Normal
StoreDesktopExtension	2	0.00	3.02	6	626	0.00	Normal
WinStore.App	2	0.00	22.56	21	0	0.00	Normal
ShellExperienceHost	2	0.01	90.89	49	0	0.00	Normal
SearchProtocolHost	1	0.01	23.85	6	457	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	4.18	4	215	0.00	Normal
SearchFilterHost	2	0.00	7.32	6	459	0.00	Normal
ApplicationFrameHost	1	0.00	24.02	2	413	0.00	Normal
MoNotificationUx	1	0.00	2.01	4	262	0.00	Normal
LogonUI	1	0.00	3.82	5	325	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.19	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.01	1	338	0.00	Normal
audiodg	1	0.01	12.23	6	222	0.00	Normal
conhost	1	0.00	7.10	3	132	0.00	Normal
EasyMiner	1	0.04	45.25	11	522	0.00	Normal
minerdcpu	1	6.25	18.83	19	272	0.00	Normal
msedge	9	0.01	318.14	175	0	0.19	Normal
HxTsr	1	0.00	21.80	13	340	0.00	Normal
SystemSettingsBroker	1	0.00	16.87	1	237	0.00	Normal
