Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"3.163.44.111",59,20046,34,14585,25,5461,"","","","","",""
"3.167.212.68",4666,5186114,3443,5119068,1223,67046,"","","","","",""
"3.169.252.128",69,56177,43,49882,26,6295,"","","","","",""
"3.175.96.32",354,343142,246,315337,108,27805,"","","","","",""
"3.175.96.62",127,91005,78,78544,49,12461,"","","","","",""
"3.175.96.86",76,37543,47,29161,29,8382,"","","","","",""
"4.237.153.9",32,13454,18,10328,14,3126,"","","","","",""
"20.44.229.112",4,228,2,120,2,108,"","","","","",""
"20.189.173.1",30,11266,18,5716,12,5550,"","","","","",""
"20.190.167.148",39,15846,23,10836,16,5010,"","","","","",""
"35.167.144.97",67,20942,35,8686,32,12256,"","","","","",""
"35.241.39.12",71,31394,37,14807,34,16587,"","","","","",""
"40.99.133.34",55,13759,29,7822,26,5937,"","","","","",""
"40.126.14.162",1268,1293333,996,821214,272,472119,"","","","","",""
"52.33.166.236",104,22709,59,5361,45,17348,"","","","","",""
"52.123.129.14",52,43781,36,41566,16,2215,"","","","","",""
"52.148.114.188",2,180,1,90,1,90,"","","","","",""
"52.185.211.133",26,7419,15,5251,11,2168,"","","","","",""
"99.84.215.124",5,2359,3,1798,2,561,"","","","","",""
"104.98.3.64",2,132,1,78,1,54,"","","","","",""
"104.244.43.131",42,9997,27,6535,15,3462,"","","","","",""
"146.75.68.157",706,731816,529,711828,177,19988,"","","","","",""
"146.75.68.158",358,342330,267,329043,91,13287,"","","","","",""
"146.75.68.159",138,96791,90,88162,48,8629,"","","","","",""
"162.159.140.229",35,11468,19,6455,16,5013,"","","","","",""
"184.84.150.57",14,15406,11,12594,3,2812,"","","","","",""
"192.168.0.47",7,456,1,60,6,396,"","","","","",""
"192.168.1.112",7,456,1,60,6,396,"","","","","",""
"192.168.4.55",5,330,0,0,5,330,"","","","","",""
"192.168.147.1",23,1556,23,1556,0,0,"","","","","",""
"192.168.147.2",89,10330,45,6795,44,3535,"","","","","",""
"192.168.147.134",8530,8432764,2366,729674,6164,7703090,"","","","","",""
"224.0.0.251",14,980,0,0,14,980,"","","","","",""
"224.0.0.252",9,576,0,0,9,576,"","","","","",""
