Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		8,308 K	32,720 K	96		
System Idle Process	90.00	60 K	8 K	0		
System	2.21	44 K	164 K	4		
 Interrupts	5.16	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,140 K	1,644 K	432		
 Memory Compression	< 0.01	432 K	29,964 K	1956		
csrss.exe		2,036 K	7,648 K	600		
wininit.exe		1,564 K	9,688 K	668		
 services.exe		4,908 K	11,708 K	812		
  svchost.exe	< 0.01	13,832 K	41,472 K	944	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe		55,612 K	146,768 K	2260	Windows Start Experience Host	Microsoft Corporation
   SearchHost.exe		38,116 K	134,636 K	800		Microsoft Corporation
    msedgewebview2.exe		35,508 K	115,480 K	2392	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,180 K	9,248 K	8568	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		14,708 K	42,884 K	4340	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		12,652 K	40,660 K	2940	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,624 K	20,628 K	1360	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		66,548 K	105,568 K	4080	Microsoft Edge WebView2	Microsoft Corporation
   RuntimeBroker.exe		14,056 K	62,552 K	724	Runtime Broker	Microsoft Corporation
   dllhost.exe		2,976 K	16,712 K	9312	COM Surrogate	Microsoft Corporation
   Widgets.exe		11,488 K	66,580 K	8832		Microsoft Corporation
    msedgewebview2.exe	< 0.01	38,456 K	130,600 K	2968	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,160 K	9,604 K	1044	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		16,220 K	56,292 K	7796	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe	< 0.01	14,076 K	42,944 K	6736	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		9,972 K	21,524 K	5924	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		182,856 K	223,788 K	9776	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,020 K	21,684 K	6088	Microsoft Edge WebView2	Microsoft Corporation
   AppActions.exe		16,828 K	42,488 K	2548		
   UserOOBEBroker.exe		1,672 K	11,224 K	7060	User OOBE Broker	Microsoft Corporation
   FileCoAuth.exe		9,904 K	30,320 K	10032	Microsoft OneDriveFile Co-Authoring Executable	Microsoft Corporation
  svchost.exe		7,160 K	17,248 K	532	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	2,700 K	13,612 K	892	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,372 K	7,308 K	1132	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,132 K	13,884 K	1164	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,752 K	15,940 K	1172	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	1,704 K	8,236 K	1220	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	5,016 K	11,088 K	1296	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,840 K	20,048 K	1340	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,540 K	9,352 K	1380	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,844 K	17,172 K	1400	Host Process for Windows Services	Microsoft Corporation
  VBoxService.exe	< 0.01	3,040 K	8,984 K	1516	VirtualBox Guest Additions Service	Oracle and/or its affiliates
  svchost.exe		3,068 K	17,624 K	1584	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		7,380 K	49,068 K	564	Shell Infrastructure Host	Microsoft Corporation
    ShellHost.exe		6,648 K	40,936 K	5344	ShellHost	Microsoft Corporation
    CrossDeviceResume.exe		8,164 K	46,648 K	4300		Microsoft Corporation
  svchost.exe	< 0.01	13,696 K	19,276 K	1608	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,124 K	10,856 K	1732	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		94,772 K	102,068 K	1756	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,408 K	7,876 K	1776	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,484 K	12,228 K	1840	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,804 K	10,952 K	1948	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,452 K	17,576 K	2008	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe		6,056 K	21,932 K	4224	Host Process for Windows Tasks	Microsoft Corporation
  svchost.exe		1,888 K	11,200 K	2040	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,064 K	10,720 K	1156	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,264 K	10,568 K	2072	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,048 K	18,612 K	2148	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,964 K	10,988 K	2216	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,772 K	10,028 K	2292	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,604 K	9,296 K	2300	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe	0.74	28,664 K	62,880 K	7316		
  svchost.exe		23,172 K	35,100 K	2428	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,140 K	12,744 K	2436	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,312 K	12,948 K	2476	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,612 K	18,508 K	2532	Host Process for Windows Services	Microsoft Corporation
  spoolsv.exe		5,532 K	21,452 K	2648	Spooler SubSystem App	Microsoft Corporation
  svchost.exe		13,164 K	28,216 K	2688	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,940 K	10,408 K	2736	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		20,468 K	58,948 K	2852	Host Process for Windows Services	Microsoft Corporation
   AggregatorHost.exe		3,056 K	12,760 K	5076		
  svchost.exe		3,972 K	20,244 K	2860	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		25,572 K	37,096 K	2872	Host Process for Windows Services	Microsoft Corporation
  OfficeClickToRun.exe		33,048 K	66,960 K	2884	Microsoft Office Click-to-Run (SxS)	Microsoft Corporation
  svchost.exe		2,912 K	14,780 K	3004	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,372 K	12,044 K	3032	Host Process for Windows Services	Microsoft Corporation
  MpDefenderCoreService.exe		8,888 K	26,820 K	2844	Antimalware Core Service	Microsoft Corporation
  snmp.exe		3,872 K	12,108 K	3128	SNMP Service	Microsoft Corporation
  svchost.exe		1,304 K	7,584 K	3144	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,436 K	20,328 K	3176	Host Process for Windows Services	Microsoft Corporation
  MsMpEng.exe	< 0.01	283,692 K	237,424 K	3196	Antimalware Service Executable	Microsoft Corporation
  svchost.exe		4,576 K	26,200 K	3216	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,728 K	10,060 K	3284	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,980 K	24,708 K	4792	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,792 K	9,744 K	4396	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,364 K	11,144 K	4308	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,616 K	25,264 K	3820	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,568 K	16,044 K	3568	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,560 K	21,368 K	3316	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe		29,148 K	46,588 K	5700	Microsoft Windows Search Indexer	Microsoft Corporation
   SearchProtocolHost.exe		2,736 K	13,920 K	9576		
  svchost.exe		3,352 K	23,932 K	5800	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,004 K	16,448 K	4040	Host Process for Windows Services	Microsoft Corporation
  NisSrv.exe		4,208 K	14,872 K	4072	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  SecurityHealthService.exe		7,760 K	24,836 K	7968	Windows Security Health Service	Microsoft Corporation
  svchost.exe		8,940 K	31,544 K	7156	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,200 K	23,976 K	8688	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,704 K	18,932 K	1836	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,200 K	15,476 K	3296	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,860 K	10,800 K	1536	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,384 K	17,864 K	1880	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,008 K	13,636 K	7872	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		8,236 K	29,008 K	5012	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,728 K	12,000 K	4748	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,076 K	23,484 K	6760	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,252 K	7,660 K	6104	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,216 K	34,268 K	8168	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,572 K	8,384 K	2472	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	4,260 K	28,400 K	2460	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,520 K	23,584 K	3048	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,852 K	10,680 K	9888	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,144 K	10,436 K	4688	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,784 K	31,732 K	8552	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,820 K	9,472 K	1072	Host Process for Windows Services	Microsoft Corporation
 lsass.exe		7,936 K	28,336 K	832	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,644 K	5,088 K	964		
csrss.exe	< 0.01	2,124 K	8,200 K	7240		
winlogon.exe		2,404 K	13,324 K	7804		
 fontdrvhost.exe		5,060 K	10,704 K	5648		
 dwm.exe	< 0.01	73,928 K	125,880 K	7632		
explorer.exe	0.74	170,984 K	356,264 K	1884	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,840 K	12,916 K	7108	Windows Security notification icon	Microsoft Corporation
 VBoxTray.exe	< 0.01	2,748 K	14,472 K	5180	VirtualBox Guest Additions Tray Application	Oracle and/or its affiliates
 OneDrive.exe	< 0.01	50,556 K	131,868 K	8868	Microsoft OneDrive	Microsoft Corporation
 procexp.exe		4,844 K	14,296 K	3012	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
  procexp64.exe	1.48	31,308 K	97,292 K	204	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
msedge.exe		49,476 K	141,416 K	9208	Microsoft Edge	Microsoft Corporation
 msedge.exe		2,148 K	9,620 K	7104	Microsoft Edge	Microsoft Corporation
 msedge.exe		12,424 K	41,036 K	676	Microsoft Edge	Microsoft Corporation
 msedge.exe		11,660 K	30,344 K	5840	Microsoft Edge	Microsoft Corporation
 msedge.exe		8,220 K	20,000 K	7452	Microsoft Edge	Microsoft Corporation
 msedge.exe		77,408 K	121,672 K	10088	Microsoft Edge	Microsoft Corporation
 msedge.exe		14,996 K	30,384 K	9296	Microsoft Edge	Microsoft Corporation
Telegram.exe		249,500 K	249,916 K	6016	Telegram Desktop	Telegram FZ-LLC

