Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		8,464 K	33,044 K	96		
System Idle Process	46.36	60 K	8 K	0		
System	1.40	44 K	164 K	4		
 Interrupts	7.02	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,140 K	1,644 K	432		
 Memory Compression	< 0.01	420 K	31,484 K	1956		
csrss.exe	< 0.01	2,032 K	7,656 K	600		
wininit.exe		1,560 K	9,684 K	668		
 services.exe	0.70	5,044 K	11,800 K	812		
  svchost.exe	0.70	14,240 K	41,712 K	944	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe	< 0.01	55,644 K	146,816 K	2260	Windows Start Experience Host	Microsoft Corporation
   SearchHost.exe	< 0.01	38,104 K	134,628 K	800		Microsoft Corporation
    msedgewebview2.exe		35,584 K	115,656 K	2392	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,180 K	9,248 K	8568	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		14,708 K	42,884 K	4340	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		12,584 K	40,620 K	2940	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,624 K	20,628 K	1360	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		66,548 K	105,568 K	4080	Microsoft Edge WebView2	Microsoft Corporation
   RuntimeBroker.exe		13,836 K	62,476 K	724	Runtime Broker	Microsoft Corporation
   dllhost.exe		2,976 K	16,712 K	9312	COM Surrogate	Microsoft Corporation
   Widgets.exe		12,132 K	69,684 K	8832		Microsoft Corporation
    msedgewebview2.exe		38,300 K	130,804 K	2968	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,160 K	9,604 K	1044	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		17,000 K	53,780 K	7796	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		13,492 K	42,380 K	6736	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		9,204 K	20,824 K	5924	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		177,480 K	229,024 K	9776	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,016 K	21,684 K	6088	Microsoft Edge WebView2	Microsoft Corporation
   AppActions.exe		16,828 K	42,488 K	2548		
   UserOOBEBroker.exe		1,672 K	11,224 K	7060	User OOBE Broker	Microsoft Corporation
   FileCoAuth.exe		9,904 K	30,320 K	10032	Microsoft OneDriveFile Co-Authoring Executable	Microsoft Corporation
   backgroundTaskHost.exe	2.81	8,280 K	45,500 K	8268	Background Task Host	Microsoft Corporation
   RuntimeBroker.exe	0.70	6,332 K	35,408 K	5656	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe	< 0.01	2,000 K	10,276 K	8584	Runtime Broker	Microsoft Corporation
  svchost.exe	< 0.01	7,608 K	17,720 K	532	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	2,736 K	13,636 K	892	Host Process for Windows Services	Microsoft Corporation
