Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"23.214.90.121",443,34,19374,18,9223,16,10151
"192.168.147.1",5353,24,1680,24,1680,0,0
"192.168.147.1",50084,8,656,8,656,0,0
"192.168.147.1",50089,4,528,4,528,0,0
"192.168.147.1",51002,14,9772,14,9772,0,0
"192.168.147.1",51658,2,128,2,128,0,0
"192.168.147.1",54707,2,128,2,128,0,0
"192.168.147.1",55688,2,128,2,128,0,0
"192.168.147.1",57790,2,128,2,128,0,0
"192.168.147.1",58232,2,128,2,128,0,0
"192.168.147.1",62323,2,128,2,128,0,0
"192.168.147.2",53,60,6862,30,4395,30,2467
"192.168.147.2",137,24,2640,0,0,24,2640
"192.168.147.134",68,2,700,1,358,1,342
"192.168.147.134",137,24,2640,24,2640,0,0
"192.168.147.134",5353,2,200,2,200,0,0
"192.168.147.134",50002,1,75,1,75,0,0
"192.168.147.134",50662,34,19374,16,10151,18,9223
"192.168.147.134",51903,2,345,1,72,1,273
"192.168.147.134",51941,4,304,2,152,2,152
"192.168.147.134",52235,12,1421,6,478,6,943
"192.168.147.134",52523,2,256,1,78,1,178
"192.168.147.134",52671,6,576,3,257,3,319
"192.168.147.134",53130,2,326,1,72,1,254
"192.168.147.134",55615,16,1651,8,673,8,978
"192.168.147.134",58311,2,271,1,78,1,193
"192.168.147.134",60146,10,1408,5,455,5,953
"192.168.147.134",61132,4,304,2,152,2,152
"192.168.147.254",67,2,700,1,342,1,358
"224.0.0.251",5353,34,2536,0,0,34,2536
"224.0.0.252",5355,13,843,0,0,13,843
"239.255.255.250",1900,4,528,0,0,4,528
"239.255.255.250",3702,14,9772,0,0,14,9772
"fe80::ac08:6dea:f4ee:6ad5",5353,24,2160,24,2160,0,0
"fe80::ac08:6dea:f4ee:6ad5",51003,14,10052,14,10052,0,0
"fe80::ac08:6dea:f4ee:6ad5",51658,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",54707,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",55688,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",57790,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",58232,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",62323,2,168,2,168,0,0
"fe80::db38:a9a8:f21f:b66c",5353,2,240,2,240,0,0
"fe80::db38:a9a8:f21f:b66c",50002,1,95,1,95,0,0
"ff02::1:3",5355,13,1103,0,0,13,1103
"ff02::c",3702,14,10052,0,0,14,10052
"ff02::fb",5353,26,2400,0,0,26,2400
