Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.04	0.14	280	0	0.01	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	23.05	35	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.36	6	539	0.00	Normal
services	1	0.01	5.98	8	675	0.00	Normal
lsass	1	0.00	17.92	9	0	0.00	Normal
svchost	78	0.06	592.13	455	0	0.02	Normal
fontdrvhost	3	0.00	9.15	15	111	0.00	Normal
dwm	2	0.03	68.92	32	0	0.00	Normal
Memory Compression	1	0.03	171.61	117	0	0.00	Normal
spoolsv	1	0.00	3.85	10	434	0.00	Normal
vmtoolsd	2	0.00	19.03	18	670	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	3.97	11	391	0.00	Normal
MsMpEng	1	0.05	231.22	64	0	0.00	Normal
MpDefenderCoreService	1	0.00	9.42	9	501	0.00	Normal
dllhost	6	0.00	38.53	37	0	0.00	Normal
msdtc	1	0.00	0.35	9	237	0.00	Normal
AggregatorHost	1	0.00	5.11	2	136	0.00	Normal
NisSrv	1	0.00	4.10	3	213	0.00	Normal
SgrmBroker	1	0.00	4.65	6	107	0.00	Normal
uhssvc	1	0.00	12.44	3	279	0.00	Normal
SearchIndexer	1	0.02	43.31	17	0	0.01	Normal
SecurityHealthService	1	0.00	13.17	13	694	0.00	Normal
sihost	2	0.00	47.37	25	0	0.00	Normal
taskhostw	2	0.00	15.52	14	591	0.00	Normal
explorer	2	0.29	267.52	149	0	2.20	Normal
ctfmon	2	0.01	11.64	24	885	0.00	Normal
Widgets	2	0.00	27.25	34	0	0.00	Normal
WidgetService	2	0.00	12.32	9	600	0.00	Normal
SearchHost	2	0.00	127.13	121	0	0.00	Normal
StartMenuExperienceHost	2	0.00	96.50	32	0	0.00	Normal
RuntimeBroker	13	0.01	178.69	63	0	0.00	Normal
PhoneExperienceHost	1	0.00	16.19	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	6.82	2	364	0.00	Normal
msteams	1	0.00	19.12	59	923	0.00	Normal
msedgewebview2	6	0.01	32.89	156	0	0.00	Normal
WindowsPackageManagerServer	1	0.00	5.30	4	403	0.00	Normal
OneDrive	1	0.04	36.32	27	0	0.00	Normal
OneDrive.Sync.Service	2	0.00	28.15	31	0	0.00	Normal
MoUsoCoreWorker	1	0.00	7.90	6	395	0.00	Normal
StoreDesktopExtension	2	0.00	3.02	6	626	0.00	Normal
WinStore.App	2	0.00	25.49	22	0	0.00	Normal
ShellExperienceHost	2	0.02	72.83	43	0	0.00	Normal
SearchProtocolHost	1	0.01	24.48	8	534	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.46	4	215	0.00	Normal
SearchFilterHost	2	0.00	10.33	9	471	0.00	Normal
ApplicationFrameHost	1	0.00	24.23	2	413	0.00	Normal
MoNotificationUx	1	0.00	2.04	4	262	0.00	Normal
LogonUI	1	0.00	3.77	5	325	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.30	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.76	1	338	0.00	Normal
audiodg	1	0.01	12.33	5	221	0.00	Normal
conhost	1	0.00	14.94	4	178	0.00	Normal
EasyMiner	1	0.02	49.78	12	513	0.00	Normal
minerdcpu	1	6.25	19.89	19	271	0.00	Normal
msedge	9	0.02	401.58	175	0	0.20	Normal
HxTsr	1	0.00	21.77	13	330	0.00	Normal
SystemSettingsBroker	1	0.00	20.95	6	257	0.00	Normal
