Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.04	0.14	275	0	0.01	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	22.61	35	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.26	6	539	0.00	Normal
services	1	0.01	5.85	7	671	0.00	Normal
lsass	1	0.00	17.80	9	0	0.00	Normal
svchost	80	0.05	588.22	469	0	0.01	Normal
fontdrvhost	3	0.00	9.04	15	111	0.00	Normal
dwm	2	0.04	64.70	32	0	0.00	Normal
Memory Compression	1	0.04	170.72	105	0	0.00	Normal
spoolsv	1	0.00	3.77	10	434	0.00	Normal
vmtoolsd	2	0.00	17.30	18	669	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	3.93	11	391	0.00	Normal
MsMpEng	1	0.05	228.66	64	0	0.00	Normal
MpDefenderCoreService	1	0.00	9.35	9	502	0.00	Normal
dllhost	8	0.00	32.32	35	0	0.00	Normal
msdtc	1	0.00	0.35	9	237	0.00	Normal
AggregatorHost	1	0.00	4.90	2	136	0.00	Normal
NisSrv	1	0.00	4.10	3	213	0.00	Normal
SgrmBroker	1	0.00	4.48	6	107	0.00	Normal
uhssvc	1	0.00	13.06	4	284	0.00	Normal
SearchIndexer	1	0.01	41.76	22	0	0.01	Normal
SecurityHealthService	1	0.00	13.28	14	697	0.00	Normal
sihost	2	0.00	47.20	23	0	0.00	Normal
taskhostw	2	0.00	15.32	15	595	0.00	Normal
explorer	2	0.18	257.04	144	0	1.65	Normal
ctfmon	2	0.01	11.57	24	883	0.00	Normal
Widgets	2	0.00	27.20	34	0	0.00	Normal
WidgetService	2	0.00	12.28	8	600	0.00	Normal
SearchHost	2	0.00	131.18	122	0	0.00	Normal
StartMenuExperienceHost	2	0.00	96.72	34	0	0.00	Normal
RuntimeBroker	13	0.01	174.91	69	0	0.00	Normal
PhoneExperienceHost	1	0.00	16.07	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	6.82	3	366	0.00	Normal
msteams	1	0.00	22.94	77	0	0.00	Normal
msedgewebview2	6	0.02	44.59	202	0	0.00	Normal
WindowsPackageManagerServer	1	0.00	5.28	4	403	0.00	Normal
OneDrive	1	0.04	50.29	37	0	0.00	Normal
OneDrive.Sync.Service	2	0.00	27.55	32	0	0.00	Normal
MoUsoCoreWorker	1	0.00	7.89	6	395	0.00	Normal
StoreDesktopExtension	2	0.00	3.03	6	626	0.00	Normal
WinStore.App	2	0.00	25.20	22	0	0.00	Normal
ShellExperienceHost	2	0.01	57.57	36	0	0.00	Normal
SearchProtocolHost	2	0.01	23.14	9	545	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.37	4	215	0.00	Normal
SearchFilterHost	2	0.00	10.82	9	472	0.00	Normal
ApplicationFrameHost	1	0.00	24.33	2	413	0.00	Normal
MoNotificationUx	1	0.00	2.02	4	262	0.00	Normal
LogonUI	1	0.00	3.58	5	325	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.32	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.75	2	341	0.00	Normal
audiodg	1	0.00	12.21	5	218	0.00	Normal
conhost	1	0.00	18.61	5	240	0.00	Normal
EasyMiner	1	0.03	49.66	13	515	0.00	Normal
minerdcpu	1	6.24	19.89	19	271	0.00	Normal
msedge	10	0.03	399.10	176	0	0.23	Normal
HxTsr	1	0.00	23.20	14	331	0.00	Normal
SystemSettingsBroker	1	0.00	20.95	12	274	0.00	Normal
smartscreen	1	0.00	22.75	13	427	0.00	Normal
