Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"4.195.183.33",443,8,456,4,240,4,216
"13.107.137.11",443,26,10211,15,8690,11,1521
"13.107.246.32",443,64,26607,37,19487,27,7120
"20.4.130.154",443,231,70466,132,53966,99,16500
"20.135.4.169",443,26,14479,17,11557,9,2922
"20.189.173.5",443,27,10493,15,7931,12,2562
"20.189.173.6",443,29,11233,16,7916,13,3317
"20.227.97.55",443,38,13845,21,10559,17,3286
"23.223.224.125",443,66,31430,39,27818,27,3612
"23.223.224.232",80,11,1120,5,557,6,563
"40.99.130.82",443,43,14810,26,8075,17,6735
"40.103.64.178",443,90,20924,46,10378,44,10546
"40.115.75.193",443,31,13398,18,10328,13,3070
"51.116.253.169",443,28,10545,15,7931,13,2614
"51.195.237.146",6667,21,1583,12,1061,9,522
"52.98.141.114",443,47,13099,26,7792,21,5307
"52.104.102.39",443,25,13257,16,9245,9,4012
"52.123.128.14",443,21,8836,12,6138,9,2698
"52.182.143.214",443,38,18703,24,6214,14,12489
"52.191.219.104",443,25,6409,14,5111,11,1298
"57.150.129.65",443,86,86028,70,12885,16,73143
"72.154.7.96",443,28,5992,15,3963,13,2029
"72.154.7.109",443,53,12736,29,8760,24,3976
"89.42.218.88",80,60,7134,30,4578,30,2556
"89.42.218.88",443,20,6731,11,5389,9,1342
"101.33.26.188",80,28,3400,13,1702,15,1698
"104.208.16.88",443,33,12643,18,8077,15,4566
"123.253.149.90",443,22,9605,13,8550,9,1055
"135.125.224.84",6667,46,4209,27,3063,19,1146
"135.233.95.80",443,39,20924,25,16293,14,4631
"142.250.66.206",443,15,10480,10,8437,5,2043
"142.250.70.163",443,13,8219,8,6206,5,2013
"142.250.70.227",80,16,1976,8,1130,8,846
"149.210.234.234",3333,388,154346,228,140822,160,13524
"150.171.22.17",443,29,11270,18,8124,11,3146
"150.171.27.11",443,232,94981,140,50309,92,44672
