Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",1454,589620,640,215461,814,374159
"00:50:56:c0:00:08",130,28372,130,28372,0,0
"00:50:56:e5:56:f1",1437,587668,815,373937,622,213731
"00:50:56:e7:26:e6",4,802,2,402,2,400
"01:00:5e:00:00:16",11,630,0,0,11,630
"01:00:5e:00:00:fb",38,2960,0,0,38,2960
"01:00:5e:00:00:fc",11,737,0,0,11,737
"01:00:5e:7f:ff:fa",18,10300,0,0,18,10300
"33:33:00:00:00:0c",14,10052,0,0,14,10052
"33:33:00:00:00:16",11,990,0,0,11,990
"33:33:00:00:00:fb",30,2904,0,0,30,2904
"33:33:00:01:00:03",11,957,0,0,11,957
"33:33:ff:c5:26:3b",2,172,0,0,2,172
"ff:ff:ff:ff:ff:ff",3,180,0,0,3,180
