Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",2109,783661,958,275317,1151,508344
"00:50:56:c0:00:08",318,77940,318,77940,0,0
"00:50:56:e5:56:f1",2075,779757,1153,507900,922,271857
"00:50:56:f0:fe:43",8,1604,4,804,4,800
"01:00:5e:00:00:16",10,540,0,0,10,540
"01:00:5e:00:00:fb",70,5020,0,0,70,5020
"01:00:5e:00:00:fc",38,2454,0,0,38,2454
"01:00:5e:7f:ff:fa",42,29316,0,0,42,29316
"33:33:00:00:00:0c",42,30156,0,0,42,30156
"33:33:00:00:00:16",10,900,0,0,10,900
"33:33:00:00:00:fb",70,6420,0,0,70,6420
"33:33:00:01:00:03",38,3214,0,0,38,3214
"33:33:ff:c5:26:3b",30,2580,0,0,30,2580
"ff:ff:ff:ff:ff:ff",6,360,0,0,6,360
