Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",2696,862452,1273,309758,1423,552694
"00:50:56:c0:00:08",364,99696,364,99696,0,0
"00:50:56:e5:56:f1",2645,856596,1426,552028,1219,304568
"00:50:56:f0:fe:43",12,2406,6,1206,6,1200
"01:00:5e:00:00:16",15,810,0,0,15,810
"01:00:5e:00:00:fb",102,7608,0,0,102,7608
"01:00:5e:00:00:fc",39,2529,0,0,39,2529
"01:00:5e:7f:ff:fa",68,40672,0,0,68,40672
"33:33:00:00:00:0c",56,40208,0,0,56,40208
"33:33:00:00:00:16",15,1350,0,0,15,1350
"33:33:00:00:00:fb",78,7200,0,0,78,7200
"33:33:00:01:00:03",39,3309,0,0,39,3309
"ff:ff:ff:ff:ff:ff",9,540,0,0,9,540
