Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.15	0.13	328	6,860	0.00	Normal
smss	1	0.00	0.71	2	66	0.00	Normal
csrss	5	0.00	20.07	59	2,388	0.00	Normal
wininit	1	0.00	2.15	1	148	0.00	Normal
services	1	0.01	6.68	8	747	0.00	Normal
lsass	1	0.01	19.49	12	2,309	0.00	Normal
svchost	91	0.22	658.21	583	34,504	0.07	Normal
fontdrvhost	5	0.00	9.24	25	185	0.00	Normal
Memory Compression	1	0.11	153.98	152	0	0.00	Normal
spoolsv	1	0.00	3.57	10	514	0.00	Normal
vmtoolsd	2	0.01	18.77	18	667	0.00	Normal
vm3dservice	5	0.00	11.90	20	632	0.00	Normal
VGAuthService	1	0.00	7.34	2	170	0.00	Normal
dllhost	9	0.00	58.86	58	2,230	0.00	Normal
msdtc	1	0.00	7.90	9	237	0.00	Normal
AggregatorHost	1	0.00	6.65	2	136	0.00	Normal
SearchIndexer	1	0.19	43.33	21	1,010	0.05	Normal
SecurityHealthService	1	0.00	12.41	23	804	0.00	Normal
SgrmBroker	1	0.00	5.05	6	107	0.00	Normal
MsMpEng	1	0.09	196.04	65	1,153	0.00	Normal
MpDefenderCoreService	1	0.00	7.95	10	503	0.00	Normal
NisSrv	1	0.00	2.90	4	208	0.00	Normal
uhssvc	1	0.00	1.46	3	261	0.00	Normal
winlogon	4	0.00	15.25	14	1,034	0.00	Normal
dwm	4	0.07	84.12	62	3,901	0.00	Normal
sihost	4	0.01	108.39	44	2,371	0.00	Normal
explorer	4	0.10	561.78	276	12,108	0.00	Normal
taskhostw	4	0.00	37.07	30	1,233	0.01	Normal
Widgets	4	0.00	14.30	5	569	0.00	Normal
SearchHost	4	0.00	212.48	210	5,768	0.00	Normal
StartMenuExperienceHost	4	0.00	223.98	56	3,676	0.00	Normal
RuntimeBroker	17	0.03	142.62	79	5,507	0.00	Normal
ctfmon	4	0.00	20.06	46	1,671	0.00	Normal
SystemSettings	1	0.00	0.00	15	992	0.00	Normal
ApplicationFrameHost	1	0.00	2.23	3	471	0.00	Normal
SecurityHealthSystray	4	0.00	20.67	6	704	0.00	Normal
msedge	25	0.06	360.60	550	9,807	0.20	Normal
OneDrive	4	0.00	121.72	104	3,056	0.00	Normal
msteams	4	0.00	57.79	217	3,331	0.00	Normal
msedgewebview2	24	0.07	301.37	572	9,773	0.03	Normal
WinStore.App	1	0.00	1.17	13	600	0.00	Normal
ShellExperienceHost	2	0.00	0.27	31	1,180	0.00	Normal
MoUsoCoreWorker	1	0.00	8.08	8	462	0.00	Normal
MoNotificationUx	3	0.00	8.49	12	834	0.00	Normal
LogonUI	3	0.00	9.07	16	961	0.00	Normal
SearchProtocolHost	1	0.15	24.40	9	494	0.01	Normal
brave	14	1.72	800.97	322	6,509	0.65	Normal
SearchFilterHost	2	0.00	12.52	9	406	0.00	Normal
WindowsPackageManagerServer	1	0.00	3.90	4	402	0.00	Normal
backgroundTaskHost	1	0.00	0.38	17	654	0.00	Normal
PhoneExperienceHost	1	0.00	56.94	19	1,041	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	2.35	5	209	0.00	Normal
VSSVC	1	0.00	9.22	7	164	0.00	Normal
