Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.14	0.13	308	6,737	0.01	Normal
smss	1	0.00	0.69	2	66	0.00	Normal
csrss	5	0.00	20.97	58	2,380	0.00	Normal
wininit	1	0.00	2.03	1	148	0.00	Normal
services	1	0.02	6.67	9	745	0.00	Normal
lsass	1	0.00	19.21	12	2,303	0.00	Normal
svchost	88	0.49	702.54	540	34,125	1.10	Normal
fontdrvhost	5	0.00	9.43	25	185	0.00	Normal
Memory Compression	1	0.10	133.57	155	0	0.00	Normal
spoolsv	1	0.00	3.67	10	514	0.00	Normal
vmtoolsd	2	0.00	18.93	18	667	0.00	Normal
vm3dservice	5	0.00	11.99	19	632	0.00	Normal
VGAuthService	1	0.00	7.14	2	170	0.00	Normal
dllhost	9	0.00	57.33	53	2,208	0.00	Normal
msdtc	1	0.00	7.71	9	237	0.00	Normal
AggregatorHost	1	0.00	6.55	2	136	0.00	Normal
SearchIndexer	1	0.06	47.41	19	1,000	0.01	Normal
SecurityHealthService	1	0.00	11.43	21	777	0.00	Normal
SgrmBroker	1	0.00	5.38	6	107	0.00	Normal
MsMpEng	1	0.07	185.92	64	1,072	0.00	Normal
MpDefenderCoreService	1	0.00	9.65	10	502	0.00	Normal
NisSrv	1	0.00	2.88	4	208	0.00	Normal
uhssvc	1	0.00	1.51	3	261	0.00	Normal
winlogon	4	0.00	14.98	14	1,034	0.00	Normal
dwm	4	0.07	76.47	60	3,899	0.00	Normal
sihost	4	0.01	107.36	39	2,337	0.00	Normal
explorer	4	0.14	546.17	270	12,027	0.00	Normal
taskhostw	4	0.00	38.36	28	1,220	0.00	Normal
Widgets	4	0.00	13.86	4	568	0.00	Normal
SearchHost	4	0.01	209.32	208	5,756	0.00	Normal
StartMenuExperienceHost	4	0.01	224.30	56	3,665	0.00	Normal
RuntimeBroker	17	0.02	134.57	66	5,350	0.00	Normal
ctfmon	4	0.00	20.56	44	1,668	0.00	Normal
SystemSettings	1	0.00	0.00	15	992	0.00	Normal
ApplicationFrameHost	1	0.00	2.55	4	471	0.00	Normal
SecurityHealthSystray	4	0.00	20.44	4	701	0.00	Normal
msedge	25	0.05	369.60	541	9,728	0.21	Normal
OneDrive	4	0.00	106.84	103	3,032	0.00	Normal
msteams	4	0.00	43.47	214	3,311	0.00	Normal
msedgewebview2	24	0.06	153.75	563	9,760	0.00	Normal
WinStore.App	1	0.00	1.17	13	600	0.00	Normal
ShellExperienceHost	2	0.00	0.27	31	1,180	0.00	Normal
MoUsoCoreWorker	1	0.00	8.09	8	459	0.00	Normal
MoNotificationUx	3	0.00	8.58	12	834	0.00	Normal
LogonUI	3	0.00	10.67	15	960	0.00	Normal
SearchProtocolHost	1	0.04	17.31	6	444	0.00	Normal
brave	14	1.61	792.38	313	6,367	0.20	Normal
SearchFilterHost	2	0.00	5.00	5	389	0.00	Normal
WindowsPackageManagerServer	1	0.00	3.91	4	403	0.00	Normal
backgroundTaskHost	1	0.02	9.31	21	756	0.00	Normal
PhoneExperienceHost	1	0.00	32.72	18	1,033	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.74	4	208	0.00	Normal
audiodg	1	0.00	11.94	5	201	0.00	Normal
