Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.16	0.13	316	6,762	0.01	Normal
smss	1	0.00	0.69	2	66	0.00	Normal
csrss	5	0.00	20.48	58	2,379	0.00	Normal
wininit	1	0.00	2.08	1	148	0.00	Normal
services	1	0.02	6.62	9	747	0.00	Normal
lsass	1	0.00	19.35	12	2,301	0.00	Normal
svchost	90	0.50	682.07	556	34,200	1.05	Warning
fontdrvhost	5	0.00	9.43	25	185	0.00	Normal
Memory Compression	1	0.13	151.73	155	0	0.00	Normal
spoolsv	1	0.00	3.66	10	514	0.00	Normal
vmtoolsd	2	0.01	18.86	18	667	0.00	Normal
vm3dservice	5	0.00	11.96	19	632	0.00	Normal
VGAuthService	1	0.00	7.21	2	170	0.00	Normal
dllhost	9	0.00	58.49	55	2,209	0.00	Normal
msdtc	1	0.00	7.77	9	237	0.00	Normal
AggregatorHost	1	0.00	6.57	2	136	0.00	Normal
SearchIndexer	1	0.06	44.91	19	1,001	0.01	Normal
SecurityHealthService	1	0.00	11.85	22	788	0.00	Normal
SgrmBroker	1	0.00	5.27	6	107	0.00	Normal
MsMpEng	1	0.07	194.99	64	1,100	0.00	Normal
MpDefenderCoreService	1	0.00	9.29	10	504	0.00	Normal
NisSrv	1	0.00	2.88	4	208	0.00	Normal
uhssvc	1	0.00	1.51	3	261	0.00	Normal
winlogon	4	0.00	15.10	14	1,034	0.00	Normal
dwm	4	0.07	79.74	61	3,898	0.00	Normal
sihost	4	0.01	107.72	41	2,350	0.00	Normal
explorer	4	0.13	550.31	271	12,029	0.00	Warning
taskhostw	4	0.00	37.94	29	1,225	0.00	Normal
Widgets	4	0.00	14.02	4	568	0.00	Normal
SearchHost	4	0.01	213.85	209	5,761	0.00	Normal
StartMenuExperienceHost	4	0.01	223.87	56	3,667	0.00	Normal
RuntimeBroker	17	0.02	138.79	70	5,420	0.00	Normal
ctfmon	4	0.00	20.37	45	1,668	0.00	Normal
SystemSettings	1	0.00	0.00	15	992	0.00	Normal
ApplicationFrameHost	1	0.00	2.43	4	471	0.00	Normal
SecurityHealthSystray	4	0.00	20.50	5	702	0.00	Normal
msedge	25	0.04	367.60	544	9,748	0.19	Warning
OneDrive	4	0.00	118.48	103	3,040	0.00	Normal
msteams	4	0.00	42.50	215	3,318	0.00	Normal
msedgewebview2	24	0.08	177.71	567	9,768	0.00	Warning
WinStore.App	1	0.00	1.17	13	600	0.00	Normal
ShellExperienceHost	2	0.00	0.27	31	1,180	0.00	Normal
MoUsoCoreWorker	1	0.00	8.06	8	461	0.00	Normal
MoNotificationUx	3	0.00	8.50	12	834	0.00	Normal
LogonUI	3	0.00	10.06	16	960	0.00	Normal
SearchProtocolHost	1	0.04	19.00	7	448	0.00	Normal
brave	14	1.59	806.35	314	6,367	0.17	Normal
SearchFilterHost	2	0.00	8.79	7	395	0.00	Normal
WindowsPackageManagerServer	1	0.00	3.89	4	403	0.00	Normal
backgroundTaskHost	1	0.02	9.35	21	757	0.00	Normal
PhoneExperienceHost	1	0.00	40.46	18	1,034	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.29	4	209	0.00	Normal
