Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"13.107.42.12",29,17639,19,14123,10,3516,"","","","","",""
"20.4.130.154",105,32032,60,24532,45,7500,"","","","","",""
"20.72.205.209",26,7727,15,5212,11,2515,"","","","","",""
"20.190.122.23",36,13738,20,10505,16,3233,"","","","","",""
"23.216.63.114",22,9491,13,8436,9,1055,"","","","","",""
"23.223.224.125",70,31683,41,27963,29,3720,"","","","","",""
"40.103.64.178",31,5524,15,1895,16,3629,"","","","","",""
"40.115.75.193",4,285,2,177,2,108,"","","","","",""
"52.98.140.98",113,24612,58,11584,55,13028,"","","","","",""
"52.98.141.114",42,2415,21,1260,21,1155,"","","","","",""
"72.154.7.109",82,18795,45,12782,37,6013,"","","","","",""
"89.42.218.88",60,11487,31,8441,29,3046,"","","","","",""
"104.98.3.64",4,228,2,120,2,108,"","","","","",""
"104.208.16.88",26,12120,15,7902,11,4218,"","","","","",""
"149.210.234.234",138,62886,82,58308,56,4578,"","","","","",""
"150.171.28.11",23,5358,13,2105,10,3253,"","","","","",""
"172.172.255.216",22,2446,12,1718,10,728,"","","","","",""
"184.84.150.57",2,114,1,60,1,54,"","","","","",""
"192.168.0.47",1,60,1,60,0,0,"","","","","",""
"192.168.1.112",2,126,1,60,1,66,"","","","","",""
"192.168.147.1",70,13572,70,13572,0,0,"","","","","",""
"192.168.147.2",95,10124,34,4364,61,5760,"","","","","",""
"192.168.147.134",943,270135,441,68186,502,201949,"","","","","",""
"192.168.147.254",2,700,1,342,1,358,"","","","","",""
"224.0.0.22",5,270,0,0,5,270,"","","","","",""
"224.0.0.251",38,2720,0,0,38,2720,"","","","","",""
"224.0.0.252",21,1355,0,0,21,1355,"","","","","",""
"239.255.255.250",14,9772,0,0,14,9772,"","","","","",""
