Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",923,263623,439,67103,484,196520
"00:50:56:c0:00:08",156,29920,156,29920,0,0
"00:50:56:e5:56:f1",906,261671,485,196298,421,65373
"00:50:56:f0:fe:43",4,802,2,402,2,400
"01:00:5e:00:00:16",5,270,0,0,5,270
"01:00:5e:00:00:fb",38,2720,0,0,38,2720
"01:00:5e:00:00:fc",21,1355,0,0,21,1355
"01:00:5e:7f:ff:fa",14,9772,0,0,14,9772
"33:33:00:00:00:0c",14,10052,0,0,14,10052
"33:33:00:00:00:16",5,450,0,0,5,450
"33:33:00:00:00:fb",38,3480,0,0,38,3480
"33:33:00:01:00:03",21,1775,0,0,21,1775
"33:33:ff:c5:26:3b",16,1376,0,0,16,1376
"ff:ff:ff:ff:ff:ff",3,180,0,0,3,180
