Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",4131,2451492,1676,453698,2455,1997794
"00:50:56:c0:00:08",1798,239696,1798,239696,0,0
"00:50:56:e5:56:f1",3986,2437643,2454,1997170,1532,440473
"00:50:56:e7:26:e6",4,786,3,744,1,42
"01:00:5e:00:00:16",72,4202,0,0,72,4202
"01:00:5e:00:00:fb",520,42454,0,0,520,42454
"01:00:5e:00:00:fc",249,19537,0,0,249,19537
"01:00:5e:7f:ff:fa",133,52306,0,0,133,52306
"33:33:00:00:00:01",2,172,0,0,2,172
"33:33:00:00:00:02",4,264,0,0,4,264
"33:33:00:00:00:0c",92,46732,0,0,92,46732
"33:33:00:00:00:16",72,6640,0,0,72,6640
"33:33:00:00:00:fb",508,51630,0,0,508,51630
"33:33:00:01:00:02",11,1727,0,0,11,1727
"33:33:00:01:00:03",249,24517,0,0,249,24517
"33:33:ff:1f:b6:6c",2,156,0,0,2,156
"33:33:ff:c5:26:3b",5,430,0,0,5,430
"ff:ff:ff:ff:ff:ff",24,2232,0,0,24,2232
