Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"3.24.249.154",33,15164,20,11223,13,3941,"","","","","",""
"3.163.44.8",32,16472,20,13492,12,2980,"","","","","",""
"3.163.44.92",22460,24667941,16377,24281315,6083,386626,"","","","","",""
"3.169.252.79",873,863734,588,839371,285,24363,"","","","","",""
"3.175.96.3",44,31491,31,28299,13,3192,"","","","","",""
"3.175.96.8",370,379289,266,353285,104,26004,"","","","","",""
"3.175.96.13",130,67485,73,46355,57,21130,"","","","","",""
"3.175.96.32",316,270232,210,252099,106,18133,"","","","","",""
"3.175.96.49",125,60841,67,42855,58,17986,"","","","","",""
"3.175.96.62",313,329618,225,312952,88,16666,"","","","","",""
"3.175.96.88",1339,1641511,1108,1608583,231,32928,"","","","","",""
"18.65.3.31",118,125045,93,120960,25,4085,"","","","","",""
"20.189.173.5",36,17489,22,6098,14,11391,"","","","","",""
"20.190.142.165",42,32102,28,23963,14,8139,"","","","","",""
"34.214.214.214",90,30764,48,14585,42,16179,"","","","","",""
"35.241.39.12",171,75170,87,45818,84,29352,"","","","","",""
"40.99.133.146",4,228,2,120,2,108,"","","","","",""
"44.233.244.218",28,9349,16,5915,12,3434,"","","","","",""
"52.10.68.32",173,58404,100,12197,73,46207,"","","","","",""
"52.39.83.171",152,33384,84,17218,68,16166,"","","","","",""
"52.39.136.235",38,11295,22,4915,16,6380,"","","","","",""
"52.88.52.168",476,108573,341,49493,135,59080,"","","","","",""
"52.88.191.144",80,41083,56,35455,24,5628,"","","","","",""
"72.154.7.96",24,5731,13,3810,11,1921,"","","","","",""
"99.84.215.33",3239,3650327,2447,3595712,792,54615,"","","","","",""
"99.84.215.115",44,24902,24,17494,20,7408,"","","","","",""
"104.98.241.215",71,53424,49,47898,22,5526,"","","","","",""
"104.98.252.15",23,9657,13,8399,10,1258,"","","","","",""
"142.250.70.164",118,77631,71,66855,47,10776,"","","","","",""
"146.75.69.32",26,8770,15,5780,11,2990,"","","","","",""
"146.75.70.27",109,91804,80,84770,29,7034,"","","","","",""
"146.75.70.217",34,17041,21,13923,13,3118,"","","","","",""
"172.172.255.216",2,115,1,60,1,55,"","","","","",""
"172.172.255.217",4,437,2,287,2,150,"","","","","",""
"192.168.0.47",6,390,1,60,5,330,"","","","","",""
"192.168.4.55",6,390,1,60,5,330,"","","","","",""
"192.168.20.4",9,570,4,240,5,330,"","","","","",""
"192.168.86.47",4,264,0,0,4,264,"","","","","",""
"192.168.147.1",70,15800,70,15800,0,0,"","","","","",""
"192.168.147.2",217,26162,104,16642,113,9520,"","","","","",""
"192.168.147.134",31392,32855770,8661,866872,22731,31988898,"","","","","",""
"192.168.147.254",2,700,1,342,1,358,"","","","","",""
"224.0.0.22",5,270,0,0,5,270,"","","","","",""
"224.0.0.251",29,2126,0,0,29,2126,"","","","","",""
"224.0.0.252",13,843,0,0,13,843,"","","","","",""
"239.255.255.250",34,13352,0,0,34,13352,"","","","","",""
