Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.12	0.13	316	5,584	0.01	Normal
smss	1	0.00	0.94	2	63	0.00	Normal
csrss	4	0.00	30.12	46	1,912	0.00	Normal
wininit	1	0.00	6.25	1	148	0.00	Normal
services	1	0.01	8.52	8	712	0.00	Normal
lsass	1	0.01	24.99	10	2,071	0.00	Normal
svchost	82	0.47	896.90	526	31,399	2.27	Normal
fontdrvhost	4	0.00	15.96	20	148	0.00	Normal
Memory Compression	1	0.09	112.73	117	0	0.00	Normal
spoolsv	1	0.00	3.82	11	515	0.00	Normal
vmtoolsd	2	0.00	19.76	18	667	0.00	Normal
vm3dservice	4	0.00	19.04	15	505	0.00	Normal
VGAuthService	1	0.00	7.46	2	170	0.00	Normal
dllhost	7	0.00	64.94	44	1,703	0.00	Normal
msdtc	1	0.00	8.06	9	237	0.00	Normal
AggregatorHost	1	0.00	6.92	2	136	0.00	Normal
SearchIndexer	1	0.05	44.75	17	964	0.01	Normal
SecurityHealthService	1	0.00	12.74	17	679	0.00	Normal
SgrmBroker	1	0.00	6.55	6	107	0.00	Normal
MsMpEng	1	0.09	219.70	65	1,044	0.00	Normal
MpDefenderCoreService	1	0.00	14.64	10	505	0.00	Normal
NisSrv	1	0.00	7.69	5	209	0.00	Normal
uhssvc	1	0.00	8.68	5	289	0.00	Normal
winlogon	3	0.00	23.47	11	776	0.00	Normal
dwm	3	0.07	97.45	45	2,946	0.00	Normal
sihost	3	0.01	99.08	30	1,752	0.00	Normal
explorer	3	0.09	462.50	203	9,072	0.00	Normal
taskhostw	3	0.00	41.64	22	916	0.00	Normal
Widgets	3	0.00	16.37	3	426	0.00	Normal
SearchHost	3	0.00	212.38	161	4,411	0.00	Normal
StartMenuExperienceHost	3	0.01	187.19	43	2,731	0.00	Normal
RuntimeBroker	12	0.02	154.39	53	3,935	0.00	Normal
ctfmon	3	0.00	29.12	34	1,253	0.00	Normal
SystemSettings	1	0.00	0.38	15	992	0.00	Normal
ApplicationFrameHost	1	0.00	2.68	4	471	0.00	Normal
SecurityHealthSystray	3	0.00	19.29	4	523	0.00	Normal
msedge	20	0.04	413.45	430	7,727	0.20	Normal
OneDrive	3	0.00	118.91	76	2,271	0.00	Normal
msteams	3	0.00	38.70	161	2,500	0.00	Normal
msedgewebview2	18	0.06	126.68	426	7,338	0.00	Normal
WinStore.App	1	0.00	1.10	13	600	0.00	Normal
ShellExperienceHost	1	0.00	0.01	16	605	0.00	Normal
MoUsoCoreWorker	1	0.00	34.77	9	438	0.00	Normal
MoNotificationUx	3	0.00	30.01	13	924	0.00	Normal
LogonUI	2	0.00	19.43	11	640	0.00	Normal
SearchProtocolHost	1	0.04	15.31	7	444	0.00	Normal
brave	14	1.51	891.12	318	6,410	0.15	Normal
SearchFilterHost	2	0.00	11.02	6	390	0.00	Normal
WindowsPackageManagerServer	1	0.00	7.09	4	403	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.67	4	209	0.00	Normal
backgroundTaskHost	1	0.02	9.53	21	744	0.00	Normal
audiodg	1	0.00	11.93	6	202	0.00	Normal
