Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		8,496 K	34,420 K	96		
System Idle Process	83.20	60 K	8 K	0		
System	2.92	44 K	164 K	4		
 Interrupts	5.11	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,140 K	1,644 K	432		
 Memory Compression		380 K	47,792 K	1956		
csrss.exe		2,036 K	7,660 K	600		
wininit.exe		1,572 K	9,696 K	668		
 services.exe		4,980 K	11,796 K	812		
  svchost.exe	< 0.01	17,504 K	45,428 K	944	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe	< 0.01	55,260 K	147,836 K	8984	Windows Start Experience Host	Microsoft Corporation
   SearchHost.exe		44,716 K	135,012 K	8420		Microsoft Corporation
    msedgewebview2.exe	< 0.01	35,692 K	117,040 K	1580	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,180 K	9,468 K	4036	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		14,720 K	43,104 K	2568	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe	< 0.01	12,416 K	40,420 K	2996	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		57,692 K	100,048 K	2960	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,552 K	20,800 K	7692	Microsoft Edge WebView2	Microsoft Corporation
   RuntimeBroker.exe		12,796 K	61,068 K	3212	Runtime Broker	Microsoft Corporation
   dllhost.exe		2,996 K	17,032 K	5172	COM Surrogate	Microsoft Corporation
   Widgets.exe		11,928 K	67,996 K	7116		Microsoft Corporation
    msedgewebview2.exe		36,868 K	129,300 K	7852	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,144 K	9,820 K	6812	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		12,712 K	41,792 K	9520	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		16,748 K	55,932 K	9172	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		9,196 K	21,072 K	8996	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		150,336 K	213,368 K	7996	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,040 K	21,708 K	10548	Microsoft Edge WebView2	Microsoft Corporation
   WidgetService.exe		4,820 K	28,100 K	9408	WidgetService.exe	Microsoft Corporation
   AppActions.exe		16,920 K	42,640 K	9132		
   ShellExperienceHost.exe	Suspended	12,632 K	66,356 K	3416	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		4,768 K	23,620 K	4304	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		5,780 K	25,372 K	5164	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe		7,120 K	38,848 K	9696	Application Frame Host	Microsoft Corporation
   UserOOBEBroker.exe		1,692 K	11,472 K	9920	User OOBE Broker	Microsoft Corporation
  svchost.exe	< 0.01	7,656 K	17,792 K	532	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	2,716 K	13,632 K	892	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,288 K	7,292 K	1132	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,664 K	14,428 K	1164	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,900 K	16,156 K	1172	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,664 K	8,232 K	1220	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,844 K	10,884 K	1296	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,788 K	20,056 K	1340	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,536 K	9,356 K	1380	Host Process for Windows Services	Microsoft Corporation
