Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"13.107.5.93",40,17473,24,12878,16,4595,"","","","","",""
"13.107.246.59",160,110176,99,94416,61,15760,"","","","","",""
"20.189.173.28",167,272176,112,18943,55,253233,"","","","","",""
"20.190.142.163",32,31746,21,23593,11,8153,"","","","","",""
"23.216.63.122",9,546,4,276,5,270,"","","","","",""
"52.123.129.14",1,60,1,60,0,0,"","","","","",""
"123.253.149.25",5,300,2,138,3,162,"","","","","",""
"172.28.48.1",42,15302,28,14152,14,1150,"","","","","",""
"172.28.58.189",445,438371,167,283621,278,154750,"","","","","",""
"172.28.63.255",1,243,0,0,1,243,"","","","","",""
"172.172.255.216",2,121,1,66,1,55,"","","","","",""
"239.255.255.250",14,9772,0,0,14,9772,"","","","","",""
