Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"18.65.244.47",443,6,343,3,180,3,163
"18.65.244.52",443,11,666,6,393,5,273
"18.67.110.62",443,6,343,3,180,3,163
"20.190.167.20",443,4,228,2,120,2,108
"35.241.39.12",443,81,19341,42,9819,39,9522
"52.88.52.168",443,28,8675,16,4729,12,3946
"108.158.20.92",443,1072,1250715,838,1235231,234,15484
"108.158.32.114",443,24,9406,13,6971,11,2435
"151.101.81.91",443,36,10362,19,6286,17,4076
"151.101.82.27",443,12,690,6,360,6,330
"172.172.255.216",443,2,115,1,60,1,55
"192.168.0.47",7680,11,720,1,60,10,660
"192.168.0.191",7680,6,390,1,60,5,330
"192.168.4.55",7680,6,390,1,60,5,330
"192.168.4.82",7680,6,390,1,60,5,330
"192.168.20.4",7680,9,570,4,240,5,330
"192.168.86.47",7680,6,390,1,60,5,330
"192.168.147.134",50392,2,115,1,55,1,60
"192.168.147.134",50516,6,343,3,163,3,180
"192.168.147.134",50517,6,343,3,163,3,180
"192.168.147.134",50518,6,343,3,163,3,180
"192.168.147.134",50520,12,690,6,330,6,360
"192.168.147.134",50521,11,666,5,273,6,393
"192.168.147.134",50522,860,1031342,172,10712,688,1020630
"192.168.147.134",50523,212,219373,62,4772,150,214601
"192.168.147.134",50524,4,228,2,108,2,120
"192.168.147.134",50527,6,390,5,330,1,60
"192.168.147.134",50528,36,10362,17,4076,19,6286
"192.168.147.134",50529,24,9406,11,2435,13,6971
"192.168.147.134",50530,18,3984,9,2626,9,1358
"192.168.147.134",50531,39,10991,18,4068,21,6923
"192.168.147.134",50532,18,4023,9,2665,9,1358
"192.168.147.134",50533,6,390,5,330,1,60
"192.168.147.134",50534,6,390,5,330,1,60
"192.168.147.134",50535,28,8675,12,3946,16,4729
"192.168.147.134",50536,6,390,5,330,1,60
"192.168.147.134",50537,9,570,5,330,4,240
"192.168.147.134",50538,6,390,5,330,1,60
"192.168.147.134",50539,5,330,5,330,0,0
