Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.01	0.14	252	0	0.01	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	22.65	34	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.62	8	539	0.00	Normal
services	1	0.00	6.07	6	682	0.00	Normal
lsass	1	0.00	17.74	9	0	0.00	Normal
svchost	79	0.02	614.96	430	0	0.01	Normal
fontdrvhost	3	0.00	8.62	15	111	0.00	Normal
dwm	2	0.01	62.85	29	0	0.00	Normal
Memory Compression	1	0.01	212.50	170	0	0.00	Normal
spoolsv	1	0.00	3.93	10	434	0.00	Normal
vmtoolsd	2	0.00	17.50	17	669	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	3.95	11	391	0.00	Normal
MsMpEng	1	0.02	205.18	63	0	0.00	Normal
MpDefenderCoreService	1	0.00	9.53	9	498	0.00	Normal
dllhost	6	0.00	42.29	34	0	0.00	Normal
msdtc	1	0.00	0.35	9	237	0.00	Normal
AggregatorHost	1	0.00	5.62	2	136	0.00	Normal
NisSrv	1	0.00	3.80	3	213	0.00	Normal
SgrmBroker	1	0.00	4.17	6	107	0.00	Normal
uhssvc	1	0.00	11.33	3	268	0.00	Normal
SearchIndexer	1	0.01	48.95	15	992	0.01	Normal
SecurityHealthService	1	0.00	12.59	12	577	0.00	Normal
sihost	2	0.00	47.08	23	0	0.00	Normal
taskhostw	2	0.00	15.29	13	586	0.00	Normal
explorer	2	0.06	266.21	148	0	0.00	Normal
ctfmon	2	0.00	11.62	22	884	0.00	Normal
Widgets	2	0.00	27.43	36	0	0.00	Normal
WidgetService	2	0.00	12.32	9	600	0.00	Normal
SearchHost	2	0.00	125.57	120	0	0.00	Normal
StartMenuExperienceHost	2	0.00	87.70	31	0	0.00	Normal
RuntimeBroker	13	0.00	171.46	52	0	0.00	Normal
PhoneExperienceHost	1	0.00	16.45	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	6.22	2	364	0.00	Normal
msteams	1	0.00	17.62	53	831	0.00	Normal
msedgewebview2	6	0.00	26.99	142	0	0.00	Normal
WindowsPackageManagerServer	1	0.00	4.72	4	403	0.00	Normal
OneDrive	1	0.00	17.77	23	899	0.00	Normal
OneDrive.Sync.Service	2	0.00	30.73	32	0	0.00	Normal
MoUsoCoreWorker	1	0.00	9.98	6	397	0.00	Normal
StoreDesktopExtension	2	0.00	3.02	6	626	0.00	Normal
WinStore.App	2	0.00	23.43	21	0	0.00	Normal
ShellExperienceHost	2	0.00	79.63	46	0	0.00	Normal
SearchProtocolHost	1	0.01	22.14	6	457	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	4.01	4	216	0.00	Normal
SearchFilterHost	2	0.00	8.85	8	463	0.00	Normal
ApplicationFrameHost	1	0.00	24.14	2	413	0.00	Normal
MoNotificationUx	1	0.00	2.07	4	262	0.00	Normal
LogonUI	1	0.00	3.83	5	325	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.19	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.07	1	338	0.00	Normal
audiodg	1	0.00	12.21	5	216	0.00	Normal
conhost	1	0.00	7.16	3	129	0.00	Normal
EasyMiner	1	0.02	45.28	11	518	0.00	Normal
minerdcpu	1	6.25	18.99	19	272	0.00	Normal
msedge	9	0.01	312.00	169	0	0.19	Normal
HxTsr	1	0.00	20.88	13	336	0.00	Normal
SystemSettingsBroker	1	0.00	17.43	1	237	0.00	Normal
