Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.03	0.14	310	4,310	0.01	Normal
smss	1	0.00	1.05	2	60	0.00	Normal
csrss	3	0.00	26.54	35	1,434	0.00	Normal
wininit	1	0.00	6.38	1	148	0.00	Normal
services	1	0.00	9.28	7	681	0.00	Normal
lsass	1	0.00	24.77	10	1,847	0.00	Normal
svchost	83	0.12	1129.86	495	28,543	0.30	Normal
fontdrvhost	3	0.00	14.34	15	111	0.00	Normal
Memory Compression	1	0.05	88.72	74	0	0.00	Normal
spoolsv	1	0.00	17.52	11	514	0.00	Normal
vmtoolsd	2	0.00	37.98	18	666	0.00	Normal
vm3dservice	3	0.00	20.75	11	376	0.00	Normal
VGAuthService	1	0.00	7.12	2	170	0.00	Normal
dllhost	5	0.00	70.31	34	1,251	0.00	Normal
msdtc	1	0.00	7.73	9	237	0.00	Normal
AggregatorHost	1	0.00	7.30	3	214	0.00	Normal
SearchIndexer	1	0.03	39.79	16	919	0.02	Normal
SecurityHealthService	1	0.00	16.68	14	621	0.00	Normal
SgrmBroker	1	0.00	7.99	6	107	0.00	Normal
MsMpEng	1	0.05	229.84	64	1,047	0.00	Normal
MpDefenderCoreService	1	0.00	19.47	10	505	0.00	Normal
NisSrv	1	0.00	11.10	5	209	0.00	Normal
uhssvc	1	0.00	5.80	3	275	0.00	Normal
winlogon	2	0.00	20.35	8	518	0.00	Normal
dwm	2	0.02	168.61	31	2,024	0.00	Normal
sihost	2	0.01	69.62	22	1,203	0.00	Normal
explorer	2	0.01	330.94	104	5,597	0.00	Normal
taskhostw	2	0.00	36.32	15	619	0.01	Normal
Widgets	2	0.00	17.82	2	285	0.00	Normal
SearchHost	2	0.00	304.67	115	3,044	0.00	Normal
StartMenuExperienceHost	2	0.00	146.49	29	1,797	0.00	Normal
RuntimeBroker	12	0.01	204.71	38	2,641	0.00	Normal
ctfmon	2	0.00	39.65	23	829	0.00	Normal
SystemSettings	1	0.00	47.52	15	992	0.00	Normal
ApplicationFrameHost	1	0.00	35.35	4	471	0.00	Normal
SecurityHealthSystray	2	0.00	19.37	3	350	0.00	Normal
msedge	15	0.02	529.09	320	5,739	0.20	Normal
OneDrive	2	0.00	124.67	49	1,519	0.00	Normal
msteams	2	0.00	24.86	108	1,685	0.00	Normal
msedgewebview2	12	0.02	164.38	282	4,886	0.02	Normal
WinStore.App	1	0.00	1.51	13	600	0.00	Normal
ShellExperienceHost	1	0.00	44.48	16	605	0.00	Normal
MoUsoCoreWorker	1	0.03	49.51	9	299	0.00	Normal
MoNotificationUx	2	0.00	27.98	9	636	0.00	Normal
LogonUI	1	0.00	30.12	6	321	0.00	Normal
SearchProtocolHost	1	0.02	18.18	7	471	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	2.75	5	209	0.00	Normal
brave	6	0.00	383.58	132	2,760	0.00	Normal
SearchFilterHost	2	0.00	23.35	8	413	0.00	Normal
backgroundTaskHost	2	0.00	39.93	18	723	0.00	Normal
