Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.05	0.14	317	4,433	0.01	Normal
smss	1	0.00	1.05	2	60	0.00	Normal
csrss	3	0.00	26.78	35	1,442	0.00	Normal
wininit	1	0.00	6.38	1	148	0.00	Normal
services	1	0.01	9.31	7	681	0.00	Normal
lsass	1	0.01	24.85	11	1,865	0.00	Normal
svchost	81	0.20	1149.78	551	28,802	0.94	Normal
fontdrvhost	3	0.00	14.06	15	111	0.00	Normal
Memory Compression	1	0.06	98.38	72	0	0.00	Normal
spoolsv	1	0.00	17.51	11	513	0.00	Normal
vmtoolsd	2	0.00	38.07	18	666	0.00	Normal
vm3dservice	3	0.00	20.76	12	376	0.00	Normal
VGAuthService	1	0.00	7.12	2	170	0.00	Normal
dllhost	5	0.00	72.74	37	1,289	0.00	Normal
msdtc	1	0.00	7.73	9	237	0.00	Normal
AggregatorHost	1	0.00	7.17	4	186	0.00	Normal
SearchIndexer	1	0.11	37.32	18	925	0.04	Normal
SecurityHealthService	1	0.00	17.18	16	635	0.00	Normal
SgrmBroker	1	0.00	7.95	6	107	0.00	Normal
MsMpEng	1	0.09	237.00	65	1,093	0.01	Normal
MpDefenderCoreService	1	0.00	19.35	10	506	0.00	Normal
NisSrv	1	0.00	11.11	6	210	0.00	Normal
uhssvc	1	0.00	5.81	3	275	0.00	Normal
winlogon	2	0.00	20.35	8	519	0.00	Normal
dwm	2	0.03	168.78	32	2,044	0.00	Normal
sihost	2	0.01	70.26	26	1,223	0.00	Normal
explorer	2	0.13	335.26	116	5,809	0.01	Normal
taskhostw	2	0.00	36.17	17	618	0.01	Normal
Widgets	2	0.00	18.00	3	286	0.00	Normal
SearchHost	2	0.00	308.07	116	3,049	0.00	Normal
StartMenuExperienceHost	2	0.00	147.48	32	1,816	0.00	Normal
RuntimeBroker	8	0.02	215.85	50	2,804	0.00	Normal
ctfmon	2	0.00	39.69	25	831	0.00	Normal
SystemSettings	1	0.00	47.53	15	992	0.00	Normal
ApplicationFrameHost	1	0.00	35.60	5	473	0.00	Normal
SecurityHealthSystray	2	0.00	19.44	4	352	0.00	Normal
msedge	16	0.03	541.15	321	5,698	0.22	Normal
OneDrive	2	0.01	124.74	50	1,526	0.01	Normal
msteams	2	0.00	46.81	110	1,697	0.00	Normal
msedgewebview2	12	0.02	310.92	287	4,900	0.03	Normal
WinStore.App	1	0.00	1.51	13	600	0.00	Normal
ShellExperienceHost	1	0.00	44.49	16	605	0.00	Normal
MoUsoCoreWorker	1	0.03	52.65	9	299	0.00	Normal
MoNotificationUx	2	0.00	22.63	7	508	0.00	Normal
LogonUI	1	0.00	30.32	6	321	0.00	Normal
SearchProtocolHost	1	0.08	19.09	9	504	0.01	Normal
MicrosoftEdgeUpdate	1	0.00	2.18	4	208	0.00	Normal
brave	6	0.06	387.01	135	2,765	0.09	Normal
SearchFilterHost	2	0.01	24.75	10	422	0.00	Normal
VSSVC	1	0.00	9.08	7	164	0.00	Normal
