Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",3595,2264118,1442,378861,2153,1885257
"00:50:56:c0:00:08",1073,156078,1073,156078,0,0
"00:50:56:e5:56:f1",3451,2250523,2151,1884573,1300,365950
"00:50:56:e7:26:e6",4,786,3,744,1,42
"01:00:5e:00:00:16",72,4202,0,0,72,4202
"01:00:5e:00:00:fb",284,23114,0,0,284,23114
"01:00:5e:00:00:fc",137,10503,0,0,137,10503
"01:00:5e:7f:ff:fa",119,42534,0,0,119,42534
"33:33:00:00:00:01",2,172,0,0,2,172
"33:33:00:00:00:02",4,264,0,0,4,264
"33:33:00:00:00:0c",78,36680,0,0,78,36680
"33:33:00:00:00:16",72,6640,0,0,72,6640
"33:33:00:00:00:fb",272,27570,0,0,272,27570
"33:33:00:01:00:02",9,1413,0,0,9,1413
"33:33:00:01:00:03",137,13243,0,0,137,13243
"33:33:ff:1f:b6:6c",2,156,0,0,2,156
"33:33:ff:c5:26:3b",4,344,0,0,4,344
"ff:ff:ff:ff:ff:ff",23,2172,0,0,23,2172
