Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"13.107.137.11",23,9794,13,8489,10,1305,"","","","","",""
"20.190.142.165",23,26612,17,19363,6,7249,"","","","","",""
"23.216.63.120",5,300,2,138,3,162,"","","","","",""
"23.216.63.122",5,300,2,138,3,162,"","","","","",""
"23.223.225.248",5,307,2,145,3,162,"","","","","",""
"40.74.79.222",1,60,1,60,0,0,"","","","","",""
"52.98.65.2",3,168,1,60,2,108,"","","","","",""
"52.98.90.2",1,54,0,0,1,54,"","","","","",""
"91.108.56.160",251,207146,172,197121,79,10025,"","","","","",""
"100.74.128.1",5,550,5,550,0,0,"","","","","",""
"104.26.11.240",3,168,1,60,2,108,"","","","","",""
"104.98.3.80",47,17802,26,13578,21,4224,"","","","","",""
"149.154.167.151",70,40816,41,35692,29,5124,"","","","","",""
"162.159.142.9",7,390,2,120,5,270,"","","","","",""
"172.28.48.1",24,11169,22,11020,2,149,"","","","","",""
"172.28.58.189",459,305845,172,29675,287,276170,"","","","","",""
"172.28.63.255",1,243,0,0,1,243,"","","","","",""
"192.168.1.128",5,330,0,0,5,330,"","","","","",""
"224.0.0.251",4,328,0,0,4,328,"","","","","",""
"239.255.255.250",16,10036,0,0,16,10036,"","","","","",""
