Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"52.98.90.2",1,54,0,0,1,54,"","","","","",""
"91.108.56.160",233,204047,165,196286,68,7761,"","","","","",""
"100.74.128.1",4,440,4,440,0,0,"","","","","",""
"104.98.3.80",7,1722,4,404,3,1318,"","","","","",""
"149.154.167.151",66,40588,39,35572,27,5016,"","","","","",""
"162.159.142.9",1,54,0,0,1,54,"","","","","",""
"172.28.58.189",317,247412,105,14710,212,232702,"","","","","",""
"172.28.63.255",1,243,0,0,1,243,"","","","","",""
"192.168.1.128",4,264,0,0,4,264,"","","","","",""
