Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
svchost.exe		1,292 K	7,320 K	3076	Host Process for Windows Services	Microsoft Corporation
svchost.exe		7,000 K	19,048 K	3108	Host Process for Windows Services	Microsoft Corporation
svchost.exe		4,564 K	24,572 K	3148	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,680 K	9,584 K	3216	Host Process for Windows Services	Microsoft Corporation
svchost.exe		2,256 K	11,848 K	3280	Host Process for Windows Services	Microsoft Corporation
svchost.exe		2,284 K	10,392 K	4608	Host Process for Windows Services	Microsoft Corporation
svchost.exe		3,736 K	25,848 K	3172	Host Process for Windows Services	Microsoft Corporation
svchost.exe		4,520 K	28,328 K	3568	Host Process for Windows Services	Microsoft Corporation
svchost.exe		3,876 K	19,520 K	4428	Host Process for Windows Services	Microsoft Corporation
svchost.exe		7,884 K	33,292 K	4572	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,268 K	7,484 K	3700	Host Process for Windows Services	Microsoft Corporation
svchost.exe	< 0.01	8,212 K	38,968 K	3668	Host Process for Windows Services	Microsoft Corporation
svchost.exe		2,268 K	15,296 K	4884	Host Process for Windows Services	Microsoft Corporation
svchost.exe		5,084 K	22,740 K	1736	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,796 K	9,156 K	5516	Host Process for Windows Services	Microsoft Corporation
svchost.exe		3,920 K	25,920 K	5932	Host Process for Windows Services	Microsoft Corporation
svchost.exe		9,544 K	32,348 K	5000	Host Process for Windows Services	Microsoft Corporation
svchost.exe		3,424 K	22,252 K	6500	Host Process for Windows Services	Microsoft Corporation
svchost.exe		3,188 K	15,964 K	8256	Host Process for Windows Services	Microsoft Corporation
svchost.exe		6,760 K	26,120 K	8964	Host Process for Windows Services	Microsoft Corporation
svchost.exe		2,412 K	20,276 K	3504	Host Process for Windows Services	Microsoft Corporation
svchost.exe	< 0.01	5,732 K	22,744 K	8380	Host Process for Windows Services	Microsoft Corporation
svchost.exe		5,888 K	25,832 K	7644	Host Process for Windows Services	Microsoft Corporation
svchost.exe		2,588 K	14,560 K	4940	Host Process for Windows Services	Microsoft Corporation
svchost.exe		3,304 K	15,436 K	10328	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,800 K	9,856 K	10404	Host Process for Windows Services	Microsoft Corporation
svchost.exe		4,400 K	16,248 K	10444	Host Process for Windows Services	Microsoft Corporation
svchost.exe		3,016 K	12,536 K	10504	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,760 K	8,948 K	5996	Host Process for Windows Services	Microsoft Corporation
svchost.exe		3,552 K	15,652 K	2196	Host Process for Windows Services	Microsoft Corporation
svchost.exe		2,024 K	10,728 K	10412	Host Process for Windows Services	Microsoft Corporation
svchost.exe		2,752 K	11,580 K	6904	Host Process for Windows Services	Microsoft Corporation
svchost.exe		6,276 K	12,504 K	5172	Host Process for Windows Services	Microsoft Corporation
svchost.exe		4,440 K	26,792 K	11072	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,260 K	7,580 K	5316	Host Process for Windows Services	Microsoft Corporation
svchost.exe		6,860 K	34,972 K	6288	Host Process for Windows Services	Microsoft Corporation
svchost.exe	< 0.01	6,148 K	29,836 K	5568	Host Process for Windows Services	Microsoft Corporation
svchost.exe		4,008 K	27,876 K	8548	Host Process for Windows Services	Microsoft Corporation
svchost.exe		3,588 K	22,928 K	10460	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,992 K	9,880 K	11280	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,956 K	16,380 K	11488	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,844 K	9,456 K	13820	Host Process for Windows Services	Microsoft Corporation
svchost.exe		1,536 K	8,840 K	4460	Host Process for Windows Services	Microsoft Corporation
