Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"20.44.10.122",92,67596,50,10753,42,56843,"","","","","",""
"123.253.149.16",43444,43928032,28454,42970355,14990,957677,"","","","","",""
"123.253.149.51",337,300092,214,275484,123,24608,"","","","","",""
"150.171.73.16",4096,4274304,2883,4189061,1213,85243,"","","","","",""
"172.28.48.1",51,9701,27,7547,24,2154,"","","","","",""
"172.28.58.189",50639,51171533,17297,1185086,33342,49986447,"","","","","",""
"184.28.9.100",15,5732,8,4390,7,1342,"","","","","",""
"185.199.108.133",2607,2586372,1709,2529153,898,57219,"","","","","",""
"224.0.0.251",2,164,0,0,2,164,"","","","","",""
"239.255.255.250",1,132,0,0,1,132,"","","","","",""
