Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"4.200.174.193",80,1820,2045815,1361,2014753,459,31062
"4.200.174.196",80,11,1993,5,1256,6,737
"13.89.179.11",443,28,11623,14,5518,14,6105
"13.95.31.18",443,121,176158,86,10842,35,165316
"13.107.5.93",443,39,18180,24,12735,15,5445
"13.107.137.11",443,22,9734,12,8429,10,1305
"13.107.213.32",443,305,227844,200,205143,105,22701
"13.107.213.59",443,409,353748,274,329676,135,24072
"13.107.246.32",443,163,139235,108,129417,55,9818
"13.107.246.59",443,125,88236,81,82219,44,6017
"20.42.73.24",443,28,11810,14,5518,14,6292
"20.42.73.25",443,23,11748,11,5302,12,6446
"20.189.173.9",443,28,12067,13,5422,15,6645
"20.189.173.16",443,25,11224,12,5362,13,5862
"20.189.173.25",443,55,25325,27,10976,28,14349
"20.189.173.28",443,35,20656,20,5880,15,14776
"20.190.142.41",443,3,168,1,60,2,108
"20.190.167.21",443,63,44170,37,31884,26,12286
"20.190.167.65",443,29,14999,14,10224,15,4775
"23.60.149.178",443,59,28577,31,24923,28,3654
"23.100.109.78",443,1,54,0,0,1,54
"23.214.90.40",443,26,11361,14,9574,12,1787
"23.214.90.131",443,10,600,4,276,6,324
"23.216.63.106",443,126,113770,85,110395,41,3375
"23.216.63.122",443,69,20544,33,14531,36,6013
"23.223.224.125",443,44,19064,22,16189,22,2875
"40.99.128.210",443,9,1457,3,502,6,955
"40.99.132.50",443,43,13216,17,7109,26,6107
"40.119.249.228",443,95,35067,45,20750,50,14317
"52.123.128.14",443,142,76371,85,64246,57,12125
"52.167.17.97",443,27,14311,14,9719,13,4592
"52.191.219.104",443,48,13804,22,9800,26,4004
"72.154.7.109",443,45,11240,19,7201,26,4039
"72.154.7.110",443,44,11246,20,7261,24,3985
"72.154.7.112",443,23,5178,10,3791,13,1387
"72.154.7.248",443,26,8931,12,6073,14,2858
"74.178.232.29",443,27,9969,13,5421,14,4548
"92.223.78.30",80,1427,1341453,952,1277041,475,64412
"104.18.33.89",443,85,77893,64,73886,21,4007
"104.119.101.196",443,5,307,2,145,3,162
"123.253.149.25",443,24,4001,12,2021,12,1980
"123.253.149.33",443,25,9982,13,5955,12,4027
"123.253.149.73",443,7,453,4,291,3,162
"123.253.149.90",443,148,110121,93,102684,55,7437
"135.18.128.210",443,342,407185,254,293611,88,113574
"142.250.76.99",80,14,2061,6,1015,8,1046
"146.75.70.172",80,19,2547,10,1197,9,1350
"150.171.22.17",443,60,22811,34,16100,26,6711
"150.171.27.11",443,66,27631,40,19401,26,8230
"150.171.28.11",443,68,36632,43,11446,25,25186
"172.28.58.189",50826,35,15909,13,4693,22,11216
"172.28.58.189",50827,76,69120,22,4676,54,64444
"172.28.58.189",51025,3,168,2,108,1,60
"172.28.58.189",51026,9,1457,6,955,3,502
"172.28.58.189",51027,5,307,3,162,2,145
"172.28.58.189",51028,26,11361,12,1787,14,9574
"172.28.58.189",51029,87,76267,27,4212,60,72055
"172.28.58.189",51030,22,5437,12,1904,10,3533
"172.28.58.189",51031,22,5623,12,1992,10,3631
"172.28.58.189",51032,22,9664,11,1308,11,8356
"172.28.58.189",51033,20,4787,11,1814,9,2973
"172.28.58.189",51034,24,7163,13,2182,11,4981
"172.28.58.189",51035,24,11527,12,5561,12,5966
"172.28.58.189",51036,23,6842,13,2002,10,4840
"172.28.58.189",51037,24,9535,12,4572,12,4963
"172.28.58.189",51038,342,407185,88,113574,254,293611
"172.28.58.189",51039,1427,1341453,475,64412,952,1277041
"172.28.58.189",51040,34,17266,16,4821,18,12445
"172.28.58.189",51041,27,13452,14,7994,13,5458
"172.28.58.189",51042,121,176158,35,165316,86,10842
"172.28.58.189",51043,27,14311,13,4592,14,9719
"172.28.58.189",51044,26,8931,14,2858,12,6073
"172.28.58.189",51045,28,11873,14,6355,14,5518
"172.28.58.189",51046,23,5178,13,1387,10,3791
"172.28.58.189",51047,22,9400,11,1567,11,7833
"172.28.58.189",51048,11,1993,6,737,5,1256
"172.28.58.189",51049,1020,1116970,281,18927,739,1098043
"172.28.58.189",51050,800,928845,178,12135,622,916710
"172.28.58.189",51051,28,11810,14,6292,14,5518
"172.28.58.189",51052,28,11623,14,6105,14,5518
"172.28.58.189",51053,27,10320,13,2295,14,8025
"172.28.58.189",51054,79,69347,25,4902,54,64445
"172.28.58.189",51055,49,44156,13,1884,36,42272
"172.28.58.189",51056,90,69748,36,5304,54,64444
"172.28.58.189",51060,38,11969,17,1805,21,10164
"172.28.58.189",51061,126,113770,41,3375,85,110395
"172.28.58.189",51734,3,168,2,108,1,60
"172.28.58.189",51888,30,2320,16,1078,14,1242
"172.28.58.189",52004,25,9982,12,4027,13,5955
"172.28.58.189",53719,7,453,3,162,4,291
"172.28.58.189",55510,85,77893,21,4007,64,73886
"172.28.58.189",55803,5,300,3,162,2,138
"172.28.58.189",55804,1,54,1,54,0,0
"172.28.58.189",56052,27,7302,12,5561,15,1741
"172.28.58.189",56053,22,9734,10,1305,12,8429
"172.28.58.189",56054,28,12067,15,6645,13,5422
"172.28.58.189",56055,35,20656,15,14776,20,5880
"172.28.58.189",56056,5,330,5,330,0,0
"172.28.58.189",56057,87,76438,27,4404,60,72034
"172.28.58.189",56058,24,6902,13,2002,11,4900
"172.28.58.189",56059,77,69095,25,4786,52,64309
"172.28.58.189",56060,19,2547,9,1350,10,1197
"172.28.58.189",56061,23,5593,12,2911,11,2682
"172.28.58.189",56062,21,9732,9,1661,12,8071
"172.28.58.189",56063,27,9969,14,4548,13,5421
"172.28.58.189",56064,30,11531,13,3462,17,8069
"172.28.58.189",56809,7,453,3,162,4,291
"172.28.58.189",56810,23,26568,6,7249,17,19319
"172.28.58.189",56811,3,168,2,108,1,60
"172.28.58.189",56812,3,168,2,108,1,60
"172.28.58.189",57965,30,11280,13,3249,17,8031
"172.28.58.189",58509,7,453,3,162,4,291
"172.28.58.189",58510,5,300,3,162,2,138
"172.28.58.189",58511,5,300,3,162,2,138
"172.28.58.189",58961,21,1289,10,548,11,741
"172.28.58.189",58962,5,300,3,162,2,138
"172.28.58.189",61657,31,11722,13,3537,18,8185
"172.28.58.189",62953,7,453,3,162,4,291
"172.28.58.189",63940,41,29330,13,19625,28,9705
"172.28.58.189",63941,14,3579,7,2004,7,1575
"172.28.58.189",63942,86,76307,27,4340,59,71967
"172.28.58.189",63943,22,5623,12,1993,10,3630
"172.28.58.189",63944,22,9664,11,1308,11,8356
"172.28.58.189",63945,21,9732,9,1661,12,8071
"172.28.58.189",63946,24,5704,14,2073,10,3631
"172.28.58.189",63947,21,9610,10,1254,11,8356
"172.28.58.189",63948,5,330,5,330,0,0
"172.28.58.189",63949,29,14999,15,4775,14,10224
"172.28.58.189",63950,25,11224,13,5862,12,5362
"172.28.58.189",63951,83,69698,29,4990,54,64708
"172.28.58.189",63952,14,2061,8,1046,6,1015
"172.28.58.189",63953,24,6902,13,2002,11,4900
"172.28.58.189",63954,14,3579,7,2004,7,1575
"172.28.58.189",63955,29,6404,14,4340,15,2064
"172.28.58.189",63956,75,69044,22,4676,53,64368
"172.28.58.189",63957,39,18180,15,5445,24,12735
"172.28.58.189",63958,26,5835,13,4227,13,1608
"172.28.58.189",63959,82,69801,26,4956,56,64845
"172.28.58.189",63960,80,69537,26,4828,54,64709
"172.28.58.189",63961,23,11748,12,6446,11,5302
"172.28.58.189",63962,21,5536,12,1966,9,3570
"172.28.58.189",63963,16,9303,7,1092,9,8211
"172.28.58.189",63964,113,104108,38,5289,75,98819
"172.28.58.189",63965,43,13216,26,6107,17,7109
"172.28.58.189",63966,16,4807,8,1662,8,3145
"172.28.58.189",63967,19,3701,9,1818,10,1883
"172.64.154.167",443,24,1457,12,801,12,656
"172.172.255.216",443,30,2320,14,1242,16,1078
"192.168.86.47",7680,10,660,0,0,10,660
