Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"13.107.5.93",443,40,17473,24,12878,16,4595
"13.107.213.59",443,147,146135,111,136254,36,9881
"13.107.246.59",443,235,179114,153,158860,82,20254
"20.49.150.241",443,24,7163,11,4981,13,2182
"20.189.173.14",443,31,16787,16,5702,15,11085
"20.189.173.28",443,167,272176,112,18943,55,253233
"20.190.142.42",443,19,8351,9,5457,10,2894
"20.190.142.163",443,35,31914,22,23653,13,8261
"20.190.167.18",443,29,14978,14,10205,15,4773
"20.190.167.65",443,68,74984,50,54587,18,20397
"23.216.63.122",443,9,546,4,276,5,270
"40.74.79.222",443,4,240,1,66,3,174
"52.123.129.14",443,23,11318,14,9645,9,1673
"52.168.117.169",443,21,9786,10,7549,11,2237
"104.99.7.47",443,20,8183,9,6586,11,1597
"123.253.149.25",443,5,300,2,138,3,162
"172.28.58.189",51888,11,914,6,427,5,487
"172.28.58.189",53119,2,108,2,108,0,0
"172.28.58.189",53706,4,246,2,108,2,138
"172.28.58.189",56499,5,300,3,162,2,138
"172.28.58.189",58289,5,300,3,162,2,138
"172.28.58.189",59587,1,60,0,0,1,60
"172.28.58.189",59588,40,17473,16,4595,24,12878
"172.28.58.189",59589,79,77379,22,4145,57,73234
"172.28.58.189",59590,30,12736,14,3700,16,9036
"172.28.58.189",59591,31,14632,14,3797,17,10835
"172.28.58.189",59592,148,263303,46,250083,102,13220
"172.28.58.189",59593,19,8873,9,3150,10,5723
"172.28.58.189",59594,20,5429,11,4118,9,1311
"172.28.58.189",59595,35,31914,13,8261,22,23653
"172.28.58.189",59596,22,11258,9,1673,13,9585
"172.28.58.189",59597,70,70237,18,5963,52,64274
"172.28.58.189",59598,24,7163,13,2182,11,4981
"172.28.58.189",59599,75,68938,21,4494,54,64444
"172.28.58.189",59600,21,9786,11,2237,10,7549
"172.28.58.189",59601,18,8075,9,1489,9,6586
"172.28.58.189",59602,4,240,3,174,1,66
"172.28.58.189",59603,68,74984,18,20397,50,54587
"172.28.58.189",59604,19,8351,10,2894,9,5457
"172.28.58.189",59605,29,14978,15,4773,14,10205
"172.28.58.189",59606,31,16787,15,11085,16,5702
"172.28.58.189",59607,77,75898,18,3918,59,71980
"172.172.255.216",443,11,914,5,487,6,427
