Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",16035,15547866,4756,1006379,11279,14541487
"00:50:56:c0:00:08",193,32742,193,32742,0,0
"00:50:56:e5:56:f1",16033,15547455,11280,14541547,4753,1005908
"01:00:5e:00:00:fb",48,3360,0,0,48,3360
"01:00:5e:00:00:fc",29,1856,0,0,29,1856
"01:00:5e:7f:ff:fa",14,9772,0,0,14,9772
"33:33:00:00:00:0c",14,10052,0,0,14,10052
"33:33:00:00:00:fb",48,4320,0,0,48,4320
"33:33:00:01:00:02",3,471,0,0,3,471
"33:33:00:01:00:03",29,2436,0,0,29,2436
"33:33:ff:c5:26:3b",11,946,0,0,11,946
"ff:ff:ff:ff:ff:ff",1,60,0,0,1,60
