Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"3.169.252.128",443,69,56177,43,49882,26,6295
"3.175.96.32",443,354,343142,246,315337,108,27805
"3.175.96.62",443,106,81707,66,71633,40,10074
"3.175.96.86",443,76,37543,47,29161,29,8382
"18.65.244.47",443,106,92227,65,78745,41,13482
"18.67.110.62",443,102,53508,52,32707,50,20801
"35.241.39.12",443,89,48582,47,26327,42,22255
"52.148.114.188",123,2,180,1,90,1,90
"99.84.215.124",443,5,2359,3,1798,2,561
"192.168.147.1",5353,48,3360,48,3360,0,0
"192.168.147.1",51700,2,128,2,128,0,0
"192.168.147.1",51818,2,128,2,128,0,0
"192.168.147.1",51944,2,128,2,128,0,0
"192.168.147.1",52395,14,9772,14,9772,0,0
"192.168.147.1",52465,2,128,2,128,0,0
"192.168.147.1",52535,2,128,2,128,0,0
"192.168.147.1",54118,2,128,2,128,0,0
"192.168.147.1",56706,2,128,2,128,0,0
"192.168.147.1",57535,2,128,2,128,0,0
"192.168.147.1",58460,2,128,2,128,0,0
"192.168.147.1",58958,2,128,2,128,0,0
"192.168.147.1",59423,2,128,2,128,0,0
"192.168.147.1",59848,2,128,2,128,0,0
"192.168.147.1",60614,2,128,2,128,0,0
"192.168.147.1",61014,2,128,2,128,0,0
"192.168.147.1",64675,1,64,1,64,0,0
"192.168.147.2",53,185,21727,93,14229,92,7498
"192.168.147.2",137,18,1980,0,0,18,1980
"192.168.147.134",123,2,180,1,90,1,90
"192.168.147.134",137,18,1980,18,1980,0,0
"192.168.147.134",49198,2,223,1,83,1,140
"192.168.147.134",50124,2,288,1,82,1,206
"192.168.147.134",50293,2,263,1,80,1,183
"192.168.147.134",50343,2,166,1,75,1,91
"192.168.147.134",50385,2,188,1,86,1,102
"192.168.147.134",50510,2,186,1,85,1,101
"192.168.147.134",50585,2,252,1,84,1,168
"192.168.147.134",50739,5,2359,2,561,3,1798
"192.168.147.134",50843,2,222,1,79,1,143
"192.168.147.134",50884,2,176,1,80,1,96
"192.168.147.134",51073,2,245,1,82,1,163
"192.168.147.134",51842,2,325,1,81,1,244
"192.168.147.134",51882,2,377,1,81,1,296
"192.168.147.134",51992,354,343142,108,27805,246,315337
"192.168.147.134",52196,2,253,1,83,1,170
"192.168.147.134",52500,26,13186,11,4439,15,8747
"192.168.147.134",52863,8,1174,4,345,4,829
"192.168.147.134",53407,2,188,1,86,1,102
"192.168.147.134",53545,22,11690,11,6321,11,5369
"192.168.147.134",53546,2,256,1,73,1,183
"192.168.147.134",53567,69,56177,26,6295,43,49882
"192.168.147.134",54412,20,10377,9,5034,11,5343
"192.168.147.134",54570,2,277,1,85,1,192
"192.168.147.134",54790,18,2366,9,717,9,1649
"192.168.147.134",54885,2,281,1,80,1,201
"192.168.147.134",54891,2,238,1,75,1,163
"192.168.147.134",55671,2,245,1,79,1,166
"192.168.147.134",56965,4,460,2,167,2,293
"192.168.147.134",57321,106,81707,40,10074,66,71633
"192.168.147.134",57509,2,270,1,85,1,185
"192.168.147.134",57704,2,252,1,86,1,166
"192.168.147.134",57766,2,230,1,83,1,147
"192.168.147.134",58124,2,288,1,82,1,206
"192.168.147.134",58176,2,218,1,101,1,117
"192.168.147.134",58812,2,271,1,82,1,189
"192.168.147.134",59422,2,166,1,75,1,91
"192.168.147.134",59627,106,92227,41,13482,65,78745
"192.168.147.134",59641,4,304,2,152,2,152
"192.168.147.134",59685,23,13515,12,6546,11,6969
"192.168.147.134",59747,2,369,1,101,1,268
"192.168.147.134",59817,8,866,4,326,4,540
"192.168.147.134",59924,1,76,0,0,1,76
"192.168.147.134",60596,2,176,1,80,1,96
"192.168.147.134",60726,30,3427,15,1233,15,2194
"192.168.147.134",60841,4,304,2,152,2,152
"192.168.147.134",61275,20,2672,10,823,10,1849
"192.168.147.134",61657,2,267,1,80,1,187
"192.168.147.134",62018,2,263,1,80,1,183
"192.168.147.134",62286,14,1144,7,532,7,612
"192.168.147.134",62627,2,184,1,84,1,100
"192.168.147.134",63260,2,271,1,82,1,189
"192.168.147.134",63980,2,252,1,86,1,166
"192.168.147.134",64087,2,182,1,83,1,99
"192.168.147.134",64889,76,37543,29,8382,47,29161
"192.168.147.134",65247,102,53508,50,20801,52,32707
"192.168.147.134",65347,2,260,1,75,1,185
"192.168.147.134",65450,2,180,1,82,1,98
"224.0.0.251",5353,48,3360,0,0,48,3360
"224.0.0.252",5355,29,1856,0,0,29,1856
"239.255.255.250",3702,14,9772,0,0,14,9772
"fe80::ac08:6dea:f4ee:6ad5",5353,48,4320,48,4320,0,0
"fe80::ac08:6dea:f4ee:6ad5",51700,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",51818,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",51944,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",52396,14,10052,14,10052,0,0
"fe80::ac08:6dea:f4ee:6ad5",52465,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",52535,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",54118,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",56706,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",57535,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",58460,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",58958,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",59423,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",59848,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",60614,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",61014,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",64675,1,84,1,84,0,0
"fe80::db38:a9a8:f21f:b66c",546,3,471,3,471,0,0
"ff02::1:2",547,3,471,0,0,3,471
"ff02::1:3",5355,29,2436,0,0,29,2436
"ff02::c",3702,14,10052,0,0,14,10052
"ff02::fb",5353,48,4320,0,0,48,4320
