Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"3.24.249.154",33,15192,20,11187,13,4005,"","","","","",""
"3.163.44.111",59,20046,34,14585,25,5461,"","","","","",""
"3.167.212.68",4666,5186114,3443,5119068,1223,67046,"","","","","",""
"3.169.252.128",69,56177,43,49882,26,6295,"","","","","",""
"3.175.96.32",354,343142,246,315337,108,27805,"","","","","",""
"3.175.96.62",127,91005,78,78544,49,12461,"","","","","",""
"3.175.96.86",76,37543,47,29161,29,8382,"","","","","",""
"4.237.153.9",38,13847,21,10559,17,3288,"","","","","",""
"13.107.137.11",1,60,1,60,0,0,"","","","","",""
"18.65.244.47",122,101070,75,85456,47,15614,"","","","","",""
"18.65.244.52",181,171723,121,165889,60,5834,"","","","","",""
"18.67.110.62",119,62550,62,39498,57,23052,"","","","","",""
"20.27.233.185",35,10790,18,7477,17,3313,"","","","","",""
"20.42.65.84",19,7742,11,1620,8,6122,"","","","","",""
"20.44.10.123",29,11657,17,5698,12,5959,"","","","","",""
"20.44.229.112",31,12409,18,8915,13,3494,"","","","","",""
"20.49.150.241",101,31381,57,21498,44,9883,"","","","","",""
"20.189.173.1",30,11266,18,5716,12,5550,"","","","","",""
"20.189.173.5",28,10484,15,7856,13,2628,"","","","","",""
"20.190.167.19",94,67087,65,49172,29,17915,"","","","","",""
"20.190.167.20",34,31702,26,23887,8,7815,"","","","","",""
"20.190.167.148",39,15846,23,10836,16,5010,"","","","","",""
"23.216.63.122",4,246,2,138,2,108,"","","","","",""
"23.223.224.125",42,2637,24,1665,18,972,"","","","","",""
"23.223.224.232",11,1120,5,557,6,563,"","","","","",""
"35.167.144.97",67,20942,35,8686,32,12256,"","","","","",""
"35.241.39.12",135,64174,72,34573,63,29601,"","","","","",""
"40.74.79.222",35,13712,19,7889,16,5823,"","","","","",""
"40.99.133.34",55,13759,29,7822,26,5937,"","","","","",""
"40.126.14.162",1293,1318259,1017,840983,276,477276,"","","","","",""
"52.33.166.236",112,23189,67,5841,45,17348,"","","","","",""
"52.104.102.39",29,13627,18,9365,11,4262,"","","","","",""
"52.123.129.14",80,59220,53,54199,27,5021,"","","","","",""
"52.140.118.28",126,34677,71,25848,55,8829,"","","","","",""
"52.148.114.188",2,180,1,90,1,90,"","","","","",""
"52.185.211.133",26,7419,15,5251,11,2168,"","","","","",""
"72.154.7.96",4,228,2,120,2,108,"","","","","",""
"72.154.7.109",10,588,8,480,2,108,"","","","","",""
"99.84.215.124",5,2359,3,1798,2,561,"","","","","",""
"104.98.3.64",4,264,2,156,2,108,"","","","","",""
"104.244.43.131",42,9997,27,6535,15,3462,"","","","","",""
"108.158.20.92",5827,6312450,4182,6208524,1645,103926,"","","","","",""
"109.61.38.38",17,2997,9,1701,8,1296,"","","","","",""
"142.250.70.163",14,1645,7,853,7,792,"","","","","",""
"146.75.68.157",706,731816,529,711828,177,19988,"","","","","",""
"146.75.68.158",358,342330,267,329043,91,13287,"","","","","",""
"146.75.68.159",138,96791,90,88162,48,8629,"","","","","",""
"150.171.22.17",28,11287,17,8029,11,3258,"","","","","",""
"151.101.82.27",108,88451,72,82818,36,5633,"","","","","",""
"162.159.140.229",35,11468,19,6455,16,5013,"","","","","",""
"172.172.255.216",9,722,4,407,5,315,"","","","","",""
"184.84.150.57",16,15538,12,12672,4,2866,"","","","","",""
"192.168.0.47",56,3636,10,600,46,3036,"","","","","",""
"192.168.0.191",18,1170,3,180,15,990,"","","","","",""
"192.168.1.112",38,2466,7,420,31,2046,"","","","","",""
"192.168.4.55",18,1170,3,180,15,990,"","","","","",""
"192.168.4.82",18,1170,3,180,15,990,"","","","","",""
"192.168.20.4",20,1272,8,480,12,792,"","","","","",""
"192.168.86.47",18,1170,3,180,15,990,"","","","","",""
"192.168.147.1",91,14988,91,14988,0,0,"","","","","",""
"192.168.147.2",203,23707,93,14229,110,9478,"","","","","",""
"192.168.147.134",16012,15546686,4745,1005848,11267,14540838,"","","","","",""
"224.0.0.251",48,3360,0,0,48,3360,"","","","","",""
"224.0.0.252",29,1856,0,0,29,1856,"","","","","",""
"239.255.255.250",14,9772,0,0,14,9772,"","","","","",""
