Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",4374,3830380,1323,230884,3051,3599496
"00:50:56:c0:00:08",209,53730,209,53730,0,0
"00:50:56:e5:56:f1",4338,3826356,3051,3598932,1287,227424
"00:50:56:f0:fe:43",7,1562,4,804,3,758
"01:00:5e:00:00:16",10,540,0,0,10,540
"01:00:5e:00:00:fb",42,3060,0,0,42,3060
"01:00:5e:00:00:fc",22,1430,0,0,22,1430
"01:00:5e:7f:ff:fa",48,23124,0,0,48,23124
"33:33:00:00:00:0c",28,20104,0,0,28,20104
"33:33:00:00:00:16",10,900,0,0,10,900
"33:33:00:00:00:fb",42,3900,0,0,42,3900
"33:33:00:01:00:03",22,1870,0,0,22,1870
"33:33:ff:c5:26:3b",17,1462,0,0,17,1462
"ff:ff:ff:ff:ff:ff",5,282,0,0,5,282
