Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"3.175.115.7",27,10481,16,7588,11,2893,"","","","","",""
"18.65.244.47",6,343,3,180,3,163,"","","","","",""
"18.65.244.52",11,666,6,393,5,273,"","","","","",""
"18.65.244.55",1700,2152783,1451,2096974,249,55809,"","","","","",""
"18.67.110.54",192,115385,110,88272,82,27113,"","","","","",""
"18.67.110.62",6,343,3,180,3,163,"","","","","",""
"18.239.199.59",23,17843,13,12537,10,5306,"","","","","",""
"20.42.73.28",32,16154,20,5844,12,10310,"","","","","",""
"20.189.173.6",26,11153,14,7871,12,3282,"","","","","",""
"20.190.167.20",4,228,2,120,2,108,"","","","","",""
"35.80.244.131",39,14135,22,7992,17,6143,"","","","","",""
"35.241.39.12",487,118435,246,65037,241,53398,"","","","","",""
"40.99.129.2",55,13787,28,7792,27,5995,"","","","","",""
"40.115.75.193",38,13845,21,10559,17,3286,"","","","","",""
"52.88.52.168",28,8675,16,4729,12,3946,"","","","","",""
"108.158.20.92",1146,1254995,874,1237427,272,17568,"","","","","",""
"108.158.32.114",80,26612,42,17906,38,8706,"","","","","",""
"123.253.149.24",22,9606,13,8551,9,1055,"","","","","",""
"151.101.81.91",59,11748,31,7069,28,4679,"","","","","",""
"151.101.82.27",27,1630,14,917,13,713,"","","","","",""
"172.172.255.216",19,1764,9,1037,10,727,"","","","","",""
"192.168.0.47",30,1950,5,300,25,1650,"","","","","",""
"192.168.0.191",24,1560,4,240,20,1320,"","","","","",""
"192.168.1.112",6,390,1,60,5,330,"","","","","",""
"192.168.4.55",18,1170,3,180,15,990,"","","","","",""
"192.168.4.82",24,1560,4,240,20,1320,"","","","","",""
"192.168.20.4",27,1710,12,720,15,990,"","","","","",""
"192.168.86.47",24,1560,4,240,20,1320,"","","","","",""
"192.168.147.1",106,27064,106,27064,0,0,"","","","","",""
"192.168.147.2",124,14111,47,6957,77,7154,"","","","","",""
"192.168.147.134",4325,3827172,1288,228516,3037,3598656,"","","","","",""
"192.168.147.254",4,1400,2,684,2,716,"","","","","",""
"224.0.0.22",10,540,0,0,10,540,"","","","","",""
"224.0.0.251",42,3060,0,0,42,3060,"","","","","",""
"224.0.0.252",22,1430,0,0,22,1430,"","","","","",""
"239.255.255.250",48,23124,0,0,48,23124,"","","","","",""
