Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.147.1",5353,28,2104,28,2104,0,0
"192.168.147.1",49602,1,75,1,75,0,0
"192.168.147.1",51864,1,64,1,64,0,0
"192.168.147.1",52475,1,64,1,64,0,0
"192.168.147.1",53295,8,656,8,656,0,0
"192.168.147.1",53299,4,528,4,528,0,0
"192.168.147.1",54166,1,64,1,64,0,0
"192.168.147.1",55610,1,64,1,64,0,0
"192.168.147.1",56125,1,64,1,64,0,0
"192.168.147.1",56526,1,75,1,75,0,0
"192.168.147.1",57131,1,64,1,64,0,0
"192.168.147.1",60499,28,19544,28,19544,0,0
"192.168.147.1",60617,1,64,1,64,0,0
"192.168.147.1",65444,1,64,1,64,0,0
"192.168.147.2",53,60,6927,30,4477,30,2450
"192.168.147.2",137,27,2970,0,0,27,2970
"192.168.147.134",68,2,700,1,358,1,342
"192.168.147.134",137,27,2970,27,2970,0,0
"192.168.147.134",5353,2,200,2,200,0,0
"192.168.147.134",49844,4,488,2,178,2,310
"192.168.147.134",52418,4,304,2,152,2,152
"192.168.147.134",52509,2,168,1,76,1,92
"192.168.147.134",55249,24,2961,12,994,12,1967
"192.168.147.134",57881,6,831,3,235,3,596
"192.168.147.134",58269,1,75,1,75,0,0
"192.168.147.134",62038,4,304,2,152,2,152
"192.168.147.134",63916,16,1871,8,663,8,1208
"192.168.147.254",67,2,700,1,342,1,358
"224.0.0.251",5353,38,2960,0,0,38,2960
"224.0.0.252",5355,11,737,0,0,11,737
"239.255.255.250",1900,4,528,0,0,4,528
"239.255.255.250",3702,28,19544,0,0,28,19544
"fe80::ac08:6dea:f4ee:6ad5",5353,28,2664,28,2664,0,0
"fe80::ac08:6dea:f4ee:6ad5",49602,1,95,1,95,0,0
"fe80::ac08:6dea:f4ee:6ad5",51864,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",52475,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",54166,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",55610,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",56125,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",56526,1,95,1,95,0,0
"fe80::ac08:6dea:f4ee:6ad5",57131,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",60500,28,20104,28,20104,0,0
"fe80::ac08:6dea:f4ee:6ad5",60617,1,84,1,84,0,0
"fe80::ac08:6dea:f4ee:6ad5",65444,1,84,1,84,0,0
"fe80::db38:a9a8:f21f:b66c",5353,2,240,2,240,0,0
"fe80::db38:a9a8:f21f:b66c",58269,1,95,1,95,0,0
"ff02::1:3",5355,11,957,0,0,11,957
"ff02::c",3702,28,20104,0,0,28,20104
"ff02::fb",5353,30,2904,0,0,30,2904
