Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"20.4.130.154",105,32036,60,24536,45,7500,"","","","","",""
"20.189.173.9",30,13061,18,5722,12,7339,"","","","","",""
"20.190.122.23",41,14017,23,10673,18,3344,"","","","","",""
"20.190.142.167",39,31949,28,24007,11,7942,"","","","","",""
"20.227.97.55",4,285,2,177,2,108,"","","","","",""
"23.223.224.125",50,20896,29,18326,21,2570,"","","","","",""
"23.223.224.232",4,228,2,120,2,108,"","","","","",""
"40.99.129.194",29,6942,14,3099,15,3843,"","","","","",""
"51.195.237.146",61,5519,39,4080,22,1439,"","","","","",""
"52.123.128.14",75,18064,37,7164,38,10900,"","","","","",""
"52.182.141.63",26,10431,14,7870,12,2561,"","","","","",""
"54.212.144.253",12,720,12,720,0,0,"","","","","",""
"72.154.7.109",56,12941,32,8933,24,4008,"","","","","",""
"88.80.187.187",124,61875,71,57792,53,4083,"","","","","",""
"89.42.218.88",20,2378,10,1526,10,852,"","","","","",""
"142.250.70.227",4,228,2,120,2,108,"","","","","",""
"150.171.27.10",31,12511,18,8946,13,3565,"","","","","",""
"150.171.28.10",129,53418,77,44892,52,8526,"","","","","",""
"172.67.75.39",4,228,2,120,2,108,"","","","","",""
"172.172.255.216",14,1234,7,750,7,484,"","","","","",""
"184.84.150.56",516,312185,328,164198,188,147987,"","","","","",""
"192.168.0.161",12,780,2,120,10,660,"","","","","",""
"192.168.0.191",6,390,1,60,5,330,"","","","","",""
"192.168.4.27",12,780,2,120,10,660,"","","","","",""
"192.168.4.53",6,390,1,60,5,330,"","","","","",""
"192.168.4.82",12,780,2,120,10,660,"","","","","",""
"192.168.20.4",9,570,4,240,5,330,"","","","","",""
"192.168.20.8",9,570,4,240,5,330,"","","","","",""
"192.168.20.41",6,390,1,60,5,330,"","","","","",""
"192.168.20.142",12,780,2,120,10,660,"","","","","",""
"192.168.86.47",6,390,1,60,5,330,"","","","","",""
"192.168.86.250",12,780,2,120,10,660,"","","","","",""
"192.168.147.1",84,23854,84,23854,0,0,"","","","","",""
"192.168.147.2",87,9897,30,4477,57,5420,"","","","","",""
"192.168.147.134",1573,628888,695,228978,878,399910,"","","","","",""
"192.168.147.254",2,700,1,342,1,358,"","","","","",""
"224.0.0.22",11,630,0,0,11,630,"","","","","",""
"224.0.0.251",38,2960,0,0,38,2960,"","","","","",""
"224.0.0.252",11,737,0,0,11,737,"","","","","",""
"239.255.255.250",32,20072,0,0,32,20072,"","","","","",""
