Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.02	0.14	240	0	0.00	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	20.01	35	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.62	8	539	0.00	Normal
services	1	0.00	5.88	6	676	0.00	Normal
lsass	1	0.00	18.61	9	0	0.00	Normal
svchost	78	0.03	580.96	420	0	0.01	Normal
fontdrvhost	3	0.00	8.34	15	111	0.00	Normal
dwm	2	0.01	59.04	30	0	0.00	Normal
Memory Compression	1	0.01	202.39	78	0	0.00	Normal
spoolsv	1	0.00	4.04	9	430	0.00	Normal
vmtoolsd	2	0.00	15.47	18	669	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	3.91	11	391	0.00	Normal
MsMpEng	1	0.04	110.36	52	899	0.00	Normal
MpDefenderCoreService	1	0.00	10.91	9	499	0.00	Normal
dllhost	6	0.00	40.35	33	0	0.00	Normal
msdtc	1	0.00	0.34	9	237	0.00	Normal
AggregatorHost	1	0.00	5.69	2	136	0.00	Normal
NisSrv	1	0.00	3.80	3	213	0.00	Normal
SgrmBroker	1	0.00	4.62	6	107	0.00	Normal
uhssvc	1	0.00	12.13	4	327	0.00	Normal
SearchIndexer	1	0.01	51.64	16	956	0.00	Normal
SecurityHealthService	1	0.00	11.49	12	577	0.00	Normal
sihost	2	0.00	47.10	23	0	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	4.01	4	215	0.00	Normal
taskhostw	2	0.00	14.43	13	587	0.00	Normal
explorer	2	0.02	237.23	141	0	0.00	Normal
ctfmon	2	0.00	12.17	22	885	0.00	Normal
Widgets	2	0.00	27.53	43	0	0.00	Normal
WidgetService	2	0.00	12.33	9	600	0.00	Normal
SearchHost	2	0.00	126.05	121	0	0.00	Normal
StartMenuExperienceHost	2	0.00	86.28	31	0	0.00	Normal
RuntimeBroker	13	0.00	170.92	52	0	0.00	Normal
PhoneExperienceHost	1	0.00	23.19	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	5.65	2	364	0.00	Normal
msteams	1	0.00	17.86	53	831	0.00	Normal
msedgewebview2	6	0.01	41.07	142	0	0.00	Normal
WindowsPackageManagerServer	2	0.00	27.99	8	809	0.00	Normal
OneDrive	1	0.00	18.09	23	899	0.00	Normal
OneDrive.Sync.Service	2	0.00	31.16	33	0	0.00	Normal
MoUsoCoreWorker	1	0.00	16.68	8	436	0.00	Normal
MoNotificationUx	1	0.00	2.00	4	262	0.00	Normal
StoreDesktopExtension	2	0.00	3.02	6	626	0.00	Normal
WinStore.App	2	0.00	22.28	21	0	0.00	Normal
ShellExperienceHost	2	0.01	85.96	47	0	0.00	Normal
LogonUI	1	0.00	3.81	5	325	0.00	Normal
ApplicationFrameHost	1	0.00	24.03	2	413	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.49	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.02	1	338	0.00	Normal
conhost	1	0.00	6.83	3	129	0.00	Normal
EasyMiner	1	0.04	57.57	11	547	0.00	Normal
minerdcpu	1	6.25	18.83	19	272	0.00	Normal
HxTsr	1	0.00	21.33	16	373	0.00	Normal
SystemSettingsBroker	1	0.00	16.55	1	237	0.00	Normal
audiodg	1	0.00	11.86	5	218	0.00	Normal
procexp	1	0.00	10.40	2	239	0.00	Normal
procexp64	1	0.15	50.34	9	707	0.00	Normal
SearchProtocolHost	1	0.00	15.48	7	375	0.00	Normal
SearchFilterHost	1	0.00	8.90	3	165	0.00	Normal
