Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.06	0.14	268	0	0.00	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	26.61	36	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.63	8	539	0.00	Normal
services	1	0.01	6.26	8	682	0.00	Normal
lsass	1	0.00	18.57	9	0	0.00	Normal
svchost	80	0.08	615.93	424	0	0.05	Normal
fontdrvhost	3	0.00	7.34	15	111	0.00	Normal
dwm	2	0.58	74.74	29	0	0.00	Normal
Memory Compression	1	0.01	216.24	86	0	0.00	Normal
spoolsv	1	0.00	4.07	9	432	0.00	Normal
vmtoolsd	2	0.00	15.12	17	669	0.00	Normal
VGAuthService	1	0.00	0.27	2	170	0.00	Normal
vm3dservice	3	0.01	3.91	11	391	0.00	Normal
MsMpEng	1	0.06	163.60	56	977	0.01	Normal
MpDefenderCoreService	1	0.00	10.61	9	498	0.00	Normal
dllhost	6	0.00	46.12	37	0	0.00	Normal
msdtc	1	0.00	0.38	9	237	0.00	Normal
AggregatorHost	1	0.00	5.68	2	136	0.00	Normal
NisSrv	1	0.00	4.23	3	213	0.00	Normal
SgrmBroker	1	0.00	4.97	6	107	0.00	Normal
uhssvc	1	0.00	11.38	4	327	0.00	Normal
SearchIndexer	1	0.02	51.73	18	0	0.02	Normal
SecurityHealthService	1	0.00	11.04	12	577	0.00	Normal
sihost	2	0.00	47.29	19	0	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	4.20	4	215	0.00	Normal
taskhostw	2	0.00	15.54	14	589	0.00	Normal
explorer	2	0.38	282.07	162	0	0.04	Normal
ctfmon	2	0.01	12.60	22	907	0.00	Normal
Widgets	2	0.00	27.42	47	0	0.00	Normal
WidgetService	2	0.00	12.32	9	600	0.00	Normal
SearchHost	2	0.00	130.89	108	0	0.00	Normal
StartMenuExperienceHost	2	0.00	95.20	31	0	0.00	Normal
RuntimeBroker	14	0.00	188.60	54	0	0.00	Normal
PhoneExperienceHost	1	0.00	22.16	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	5.73	2	364	0.00	Normal
msteams	1	0.00	18.11	53	831	0.00	Normal
msedgewebview2	6	0.01	59.90	141	0	0.00	Normal
WindowsPackageManagerServer	2	0.00	28.90	8	817	0.00	Normal
OneDrive	1	0.00	18.55	23	899	0.00	Normal
OneDrive.Sync.Service	2	0.00	31.95	31	0	0.00	Normal
MoUsoCoreWorker	1	0.00	16.51	7	440	0.00	Normal
MoNotificationUx	1	0.00	2.00	4	262	0.00	Normal
StoreDesktopExtension	2	0.00	3.14	6	626	0.00	Normal
WinStore.App	2	0.00	24.45	21	0	0.00	Normal
ShellExperienceHost	2	0.00	62.92	38	0	0.00	Normal
LogonUI	1	0.00	3.82	5	325	0.00	Normal
ApplicationFrameHost	1	0.00	24.17	2	413	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.47	13	515	0.00	Normal
DataExchangeHost	1	0.00	26.42	4	354	0.00	Normal
conhost	1	0.00	11.89	3	132	0.00	Normal
SystemSettingsBroker	1	0.00	16.64	1	237	0.00	Normal
backgroundTaskHost	1	0.00	34.82	16	434	0.00	Normal
Wireshark	1	0.15	146.19	10	642	0.04	Normal
dumpcap	1	0.00	8.76	1	141	0.01	Normal
SearchProtocolHost	2	0.01	20.71	10	574	0.00	Normal
SearchFilterHost	2	0.00	15.49	2	319	0.00	Normal
brave	7	2.07	646.29	170	0	0.11	Normal
smartscreen	1	0.00	22.94	12	427	0.00	Normal
Notepad	1	0.25	107.05	31	0	0.00	Normal
HxTsr	1	0.18	34.13	19	488	0.21	Normal
