Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.67	0.16	135	0	0.00	Normal
smss	1	0.00	1.66	2	58	0.00	Normal
csrss	2	0.13	15.41	24	0	0.00	Normal
wininit	1	0.00	9.45	1	158	0.00	Normal
services	1	0.02	11.50	7	630	0.00	Normal
lsass	1	0.02	27.84	10	0	0.00	Normal
fontdrvhost	2	0.00	17.16	10	84	0.00	Normal
svchost	74	0.43	1340.36	438	0	0.02	Normal
VBoxService	1	0.06	9.01	11	166	0.00	Normal
Memory Compression	1	0.01	34.91	46	0	0.00	Normal
spoolsv	1	0.00	21.09	9	444	0.00	Normal
OfficeClickToRun	1	0.00	70.58	17	779	0.00	Normal
MpDefenderCoreService	1	0.00	28.17	9	513	0.00	Normal
snmp	1	0.00	12.07	5	245	0.00	Normal
MsMpEng	1	0.11	257.17	22	848	0.00	Normal
AggregatorHost	1	0.00	17.18	3	239	0.00	Normal
SearchIndexer	1	0.00	38.66	9	921	0.00	Normal
NisSrv	1	0.00	14.70	3	215	0.00	Normal
SecurityHealthService	1	0.00	24.20	8	493	0.00	Normal
winlogon	1	0.00	13.46	5	264	0.00	Normal
dwm	1	0.54	110.76	19	961	0.00	Normal
sihost	1	0.00	48.41	13	671	0.00	Normal
taskhostw	1	0.00	21.64	7	314	0.00	Normal
explorer	1	0.09	329.99	79	0	0.00	Normal
ShellHost	1	0.00	40.05	6	382	0.00	Normal
CrossDeviceResume	1	0.00	45.37	5	411	0.00	Normal
OneDrive	1	0.00	130.10	24	965	0.00	Normal
Widgets	1	0.02	67.11	16	902	0.00	Normal
SearchHost	1	0.00	129.87	12	0	0.00	Normal
StartMenuExperienceHost	1	0.00	144.51	16	0	0.00	Normal
UserOOBEBroker	1	0.00	11.21	1	129	0.00	Normal
RuntimeBroker	5	-0.00	105.12	16	0	0.00	Normal
WidgetService	1	0.00	27.37	5	330	0.00	Normal
msedgewebview2	12	0.07	770.92	220	0	0.01	Normal
ctfmon	1	0.03	36.96	9	533	0.00	Normal
PhoneExperienceHost	1	0.10	174.17	20	0	0.00	Normal
SecurityHealthSystray	1	0.00	12.85	1	178	0.00	Normal
VBoxTray	1	0.02	14.51	11	282	0.00	Normal
backgroundTaskHost	4	0.00	69.87	30	0	0.00	Normal
Code	8	0.11	879.48	163	0	0.00	Normal
AppActions	1	0.00	42.28	5	290	0.00	Normal
FileCoAuth	1	0.00	29.38	3	207	0.00	Normal
dllhost	1	0.00	0.00	0	0	0.00	Normal
