Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	2.06	0.16	141	0	0.02	Normal
smss	1	0.00	1.66	2	58	0.00	Normal
csrss	2	0.05	15.45	24	0	0.00	Normal
wininit	1	0.00	9.46	1	158	0.00	Normal
services	1	0.13	11.51	8	667	0.00	Normal
lsass	1	0.10	27.79	11	0	0.00	Normal
fontdrvhost	2	0.00	16.81	10	84	0.00	Normal
svchost	74	12.98	1527.51	563	0	3.66	Normal
VBoxService	1	0.07	8.58	11	166	0.00	Normal
Memory Compression	1	0.03	22.59	44	0	0.00	Normal
spoolsv	1	0.01	21.13	10	447	0.00	Normal
OfficeClickToRun	1	0.02	68.55	18	871	0.00	Normal
MpDefenderCoreService	1	0.00	27.83	9	513	0.00	Normal
snmp	1	0.02	12.03	5	245	0.00	Normal
MsMpEng	1	8.93	276.55	28	0	5.82	Normal
AggregatorHost	1	0.00	14.99	4	210	0.00	Normal
SearchIndexer	1	0.27	38.43	11	929	2.96	Normal
NisSrv	1	0.01	14.75	4	216	0.00	Normal
SecurityHealthService	1	0.01	24.60	11	596	0.00	Normal
winlogon	1	0.00	13.40	5	266	0.00	Normal
dwm	1	0.17	108.76	19	0	0.00	Normal
sihost	1	0.05	48.97	14	691	0.00	Normal
taskhostw	1	0.11	27.85	10	394	0.00	Normal
explorer	1	0.21	277.69	65	0	0.00	Normal
ShellHost	1	0.00	40.01	6	382	0.00	Normal
CrossDeviceResume	1	0.00	45.32	5	411	0.00	Normal
OneDrive	1	0.05	130.49	26	976	0.00	Normal
Widgets	1	0.00	65.42	14	881	0.00	Normal
SearchHost	1	0.02	129.79	14	0	0.00	Normal
StartMenuExperienceHost	1	0.03	139.77	17	0	0.00	Normal
UserOOBEBroker	1	0.00	11.21	1	129	0.00	Normal
RuntimeBroker	3	0.21	109.03	25	0	0.00	Normal
WidgetService	1	0.03	29.72	6	327	0.00	Normal
msedgewebview2	12	0.02	722.60	213	0	0.00	Normal
ctfmon	1	0.01	36.79	9	519	0.00	Normal
PhoneExperienceHost	1	0.12	175.60	21	0	0.00	Normal
SecurityHealthSystray	1	0.00	12.83	1	179	0.00	Normal
VBoxTray	1	0.01	14.19	11	274	0.00	Normal
backgroundTaskHost	1	0.54	71.91	15	627	0.00	Normal
Code	8	0.10	857.09	164	0	0.00	Normal
AppActions	1	0.00	45.05	6	297	0.00	Normal
audiodg	1	0.00	15.65	7	238	0.00	Normal
dllhost	1	0.00	4.67	4	67	0.00	Normal
