Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.20	0.16	134	0	0.00	Normal
smss	1	0.00	1.66	2	58	0.00	Normal
csrss	2	0.01	15.41	24	0	0.00	Normal
wininit	1	0.00	9.45	1	158	0.00	Normal
services	1	0.01	11.48	7	625	0.00	Normal
lsass	1	0.02	27.80	9	0	0.00	Normal
fontdrvhost	2	0.00	17.16	10	84	0.00	Normal
svchost	73	0.28	1311.94	395	0	0.00	Normal
VBoxService	1	0.07	8.99	11	166	0.00	Normal
Memory Compression	1	0.00	30.46	49	0	0.00	Normal
spoolsv	1	0.00	21.08	9	444	0.00	Normal
OfficeClickToRun	1	0.00	70.58	17	777	0.00	Normal
MpDefenderCoreService	1	0.00	28.14	9	513	0.00	Normal
snmp	1	0.00	12.07	5	245	0.00	Normal
MsMpEng	1	0.09	252.17	21	882	0.00	Normal
AggregatorHost	1	0.00	17.15	2	238	0.00	Normal
SearchIndexer	1	0.00	38.65	9	920	0.00	Normal
NisSrv	1	0.00	14.70	3	215	0.00	Normal
SecurityHealthService	1	0.00	24.20	8	493	0.00	Normal
winlogon	1	0.00	13.46	6	266	0.00	Normal
dwm	1	0.08	109.13	18	957	0.00	Normal
sihost	1	0.04	48.20	12	666	0.00	Normal
taskhostw	1	0.03	21.78	6	314	0.00	Normal
explorer	1	0.04	329.06	73	0	0.00	Normal
ShellHost	1	0.00	40.05	6	383	0.00	Normal
CrossDeviceResume	1	0.00	45.37	5	411	0.00	Normal
OneDrive	1	0.00	130.10	24	964	0.00	Normal
Widgets	1	0.01	64.35	13	879	0.00	Normal
SearchHost	1	0.00	129.85	12	0	0.00	Normal
StartMenuExperienceHost	1	0.00	144.47	17	0	0.00	Normal
UserOOBEBroker	1	0.00	11.21	1	129	0.00	Normal
RuntimeBroker	5	0.03	111.35	20	0	0.00	Normal
WidgetService	1	0.00	27.37	5	330	0.00	Normal
msedgewebview2	12	0.07	761.07	218	0	0.01	Normal
ctfmon	1	0.02	36.95	9	531	0.00	Normal
PhoneExperienceHost	1	0.08	175.57	19	0	0.00	Normal
SecurityHealthSystray	1	0.00	12.85	1	178	0.00	Normal
VBoxTray	1	0.01	14.51	11	282	0.00	Normal
backgroundTaskHost	2	0.06	81.00	29	0	0.00	Normal
Code	8	0.06	878.99	163	0	0.00	Normal
AppActions	1	-0.00	42.27	5	290	0.00	Normal
FileCoAuth	1	0.00	29.38	3	207	0.00	Normal
